Participant_ID,Age,Gender,Device_Type,Experience_Level,Task_Success,Completion_Time_s,SUS_Q1,SUS_Q2,SUS_Q3,SUS_Q4,SUS_Q5,SUS_Q6,SUS_Q7,SUS_Q8,SUS_Q9,SUS_Q10,UEQ_Attractiveness,UEQ_Efficiency,UEQ_Perspicuity,NASA_TLX_Mental,NASA_TLX_Temporal,NASA_TLX_Frustration,Trust_Score,Ease_of_Use,Willingness_to_Reuse,Attention_Check_Passed
P0001,28.0,F,iOS,Beginner,1.0,255.76795809454345,5.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,4.863883051212128,,-3.647149997748318,7.716290455624964,6.77411259511182,4.565280584515493,0.0
P0002,23.0,F,Android,Intermediate,1.0,164.0930726807906,3.0,4.0,3.0,3.0,3.0,5.0,,4.0,3.0,4.0,5.0,6.0,,7.445770454591829,7.20574601628557,-4.471230142712108,7.0487409074950165,6.48825973313746,4.5765290752704075,1.0
P0003,36.0,M,Desktop,Intermediate,1.0,39.92364010346109,3.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,1.0,4.0,6.0,5.0,7.0,13.421864931770601,9.567593150172158,-3.1926297583780388,6.707820849237694,5.860594121351487,5.743488972588786,1.0
P0004,21.0,F,iOS,Intermediate,0.0,8.817077054996911,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,6.0,3.0,6.0,21.0,12.944852346738346,8.585566320059883,2.0374054744970533,5.475658789060619,5.293785291723754,1.0
P0005,29.0,M,iOS,Beginner,1.0,173.85776149055346,5.0,5.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,5.0,7.0,5.0,7.0,10.455472259444175,7.975377039333274,-2.220643495647861,7.405332056245568,6.209295359122695,5.7562586572741195,1.0
P0006,38.0,F,iOS,Intermediate,1.0,16.68674000362888,3.0,4.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,6.0,9.822850764203551,6.225443326933882,-3.3319520366032305,6.112530205186131,5.234915881007903,4.849899038823811,1.0
P0007,29.0,F,iOS,Intermediate,1.0,66.69156581636491,4.0,5.0,4.0,1.0,3.0,5.0,4.0,2.0,3.0,4.0,7.0,,6.0,5.348097053333492,7.855918575559402,1.204274954244699,5.7196347968559085,5.96336099108998,4.1856761414776,1.0
P0008,37.0,M,Android,,1.0,168.95007367726836,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,,21.0,10.725330396113682,-4.4808511804147315,7.273202701511512,5.702839420361624,6.1086602753550565,1.0
P0009,36.0,Prefer not to say,iOS,Beginner,1.0,29.043636571655355,4.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,3.0,6.0,4.0,6.0,21.0,14.950348651550085,-0.9340145988306467,7.190598627355866,6.992064404077221,3.636659365693947,0.0
P0010,30.0,F,Desktop,Advanced,1.0,91.22578412685222,5.0,4.0,3.0,,4.0,4.0,5.0,4.0,2.0,4.0,5.0,3.0,5.0,7.642542445393354,7.543462239094375,9.841490588455686,6.646515033106784,6.975025867453347,4.256481895683968,1.0
P0011,40.0,M,iOS,Advanced,1.0,837.5230892317109,3.0,4.0,1.0,5.0,,4.0,2.0,5.0,3.0,1.0,4.0,5.0,5.0,4.696090670053254,11.854495353553995,-2.980779937569183,6.930290597578983,7.256542682373151,4.828523246043945,1.0
P0012,42.0,F,Desktop,Beginner,1.0,122.62894443759176,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,21.0,9.81993447646094,14.859893485943097,6.470004453979761,5.12680428934165,5.26238335732923,1.0
P0013,26.0,F,iOS,Intermediate,0.0,60.7251101126036,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,5.660955773820611,17.764742778557412,1.49933227819903,4.948603306361002,6.0967998642767975,5.386530718691828,1.0
P0014,35.0,F,iOS,,0.0,74.36539671195354,4.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,7.0,5.0,5.0,9.089041275336726,,0.5111971515526627,3.5284643118039796,4.970538343499779,4.112677886794293,1.0
P0015,46.0,F,Android,Beginner,1.0,66.99720873304868,1.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,3.0,5.0,4.0,6.0,5.0,6.382925411297689,12.40640811991454,-3.5079454858062067,7.008110532225864,5.46179750082569,4.147770344973474,1.0
P0016,27.0,F,Android,Beginner,1.0,64.53752363646635,3.0,1.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,5.0,6.0,7.0,18.91305493493177,11.417053751380015,11.041918412536813,5.002402264196247,5.105689279196286,4.282878873862881,1.0
P0017,39.0,M,Desktop,Beginner,1.0,20.84468948459646,4.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0,,5.0,3.0,5.0,9.836102598858824,17.359389529576088,-1.4150559574380632,4.96797662484377,6.636322766026407,3.508727152939234,1.0
P0018,29.0,F,iOS,Beginner,1.0,54.540679615981205,5.0,3.0,4.0,2.0,4.0,4.0,,3.0,5.0,4.0,5.0,4.0,4.0,,5.187346884606413,9.526925680192326,6.61098509686207,6.176125591756417,5.443612540869127,1.0
P0019,52.0,M,Android,,1.0,25.10688241875456,3.0,5.0,5.0,3.0,2.0,4.0,5.0,4.0,1.0,4.0,,5.0,5.0,15.453486299117218,5.048867879694671,-2.957249733317477,5.885300920982953,4.979291085765151,4.854585505228342,1.0
P0020,52.0,F,Android,Beginner,1.0,77.13967025271695,4.0,3.0,4.0,5.0,5.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,7.0,14.98467070082517,5.127464459047004,-2.3954070116828827,6.255996343179436,6.672640439683832,3.645596734996698,1.0
,37.0,,Android,Intermediate,0.0,78.8993235786727,4.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.1173398014368034,5.713681046882836,2.414914544948794,5.58363156961523,4.765440590880812,4.418747762222617,0.0
P0022,25.0,F,Desktop,Beginner,1.0,37.65907228881572,3.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,2.0,4.0,6.0,6.0,6.0,21.0,20.258846398424332,-4.203336687708127,6.445122306271276,6.498323147025667,4.037655021846529,1.0
,36.0,M,,Intermediate,1.0,30.11662418286331,5.0,2.0,3.0,3.0,5.0,,5.0,4.0,4.0,4.0,3.0,3.0,5.0,1.711107925291779,7.080894969484467,0.0517179837527193,6.027599368314967,5.395733654476668,4.02944572916032,1.0
P0024,55.0,F,iOS,Beginner,1.0,77.39910181256562,3.0,5.0,5.0,4.0,2.0,4.0,1.0,4.0,3.0,5.0,3.0,4.0,5.0,20.51131901249644,7.159512685631548,-3.5573121056843973,6.439218747223823,7.252865118599825,5.687126133437368,
P0025,21.0,M,Android,Intermediate,1.0,69.10146075363768,5.0,2.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,,3.0,6.0,7.806357760999129,12.110595172534834,1.1673505560056183,7.086201763407999,5.714628229858211,5.361945287445729,1.0
P0026,37.0,F,iOS,Beginner,0.0,65.21070048640019,5.0,,5.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,6.0,5.0,21.0,17.622728622230543,13.111245650097253,4.791481611908424,4.523910970375243,4.6306668938959055,1.0
P0027,18.0,F,iOS,Intermediate,1.0,86.63952982389453,4.0,5.0,2.0,5.0,4.0,2.0,2.0,5.0,3.0,4.0,6.0,4.0,6.0,21.0,7.914170850415518,-4.879953922242572,6.949592340324508,5.418993150990462,5.990782593865983,0.0
P0028,33.0,M,Desktop,Beginner,1.0,72.12387329449672,2.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,3.0,5.0,6.0,5.0,6.0,5.253408550154235,13.55892458169704,-1.8455949201481223,5.872938101628197,7.4274309907615725,4.794434250262339,1.0
P0029,18.0,M,,Intermediate,1.0,178.54934748083375,4.0,4.0,4.0,3.0,4.0,1.0,4.0,5.0,5.0,3.0,4.0,6.0,4.0,3.9903480702699907,14.891289369069352,8.772840550952676,5.6892583123459275,6.315649638469678,5.679751128597028,1.0
P0030,18.0,F,Desktop,Advanced,1.0,167.75465319046114,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,7.0,13.159520458412,17.486208251999322,8.881073324892599,6.96983722277174,7.533981077566407,6.1319980439407935,1.0
P0031,36.0,M,Android,Intermediate,1.0,465.0855253380149,4.0,1.0,3.0,5.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,7.0,15.84010789664373,15.275099957350658,-4.70283575705336,7.55739243524731,5.640566529435732,5.2454164383275135,1.0
P0032,30.0,M,Desktop,Beginner,1.0,95.25625211987368,1.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,2.0,6.0,6.0,6.0,8.941225400228062,5.73417404391074,-1.7896066368108827,6.147455001299144,7.633421838289259,3.6881734738573897,0.0
P0033,50.0,F,Android,Intermediate,1.0,67.37603355525063,3.0,2.0,5.0,5.0,,5.0,3.0,5.0,5.0,4.0,6.0,4.0,4.0,21.0,7.102584768471645,-4.70183511374813,5.963511897916092,7.009970463018603,5.03408495150538,1.0
P0034,31.0,M,iOS,Advanced,1.0,315.36531877649094,5.0,5.0,5.0,1.0,4.0,1.0,4.0,4.0,3.0,3.0,5.0,7.0,6.0,4.904910102244707,10.117517024904654,-4.369781515255905,7.23906469251388,6.973109922166431,5.149824595354516,1.0
P0035,22.0,M,iOS,Intermediate,1.0,34.27761053643142,4.0,2.0,1.0,4.0,4.0,5.0,3.0,4.0,5.0,2.0,6.0,6.0,6.0,6.200557760319383,19.779052491816294,3.5826241633507436,6.367253198654056,5.874886437932414,4.644971416001231,1.0
P0036,18.0,M,iOS,Intermediate,1.0,23.217279060490505,3.0,5.0,2.0,5.0,5.0,3.0,5.0,1.0,4.0,3.0,6.0,4.0,5.0,6.835162403355634,10.986397968188156,-3.1778766212792533,5.899100068111444,7.15330642658969,3.179783260121341,1.0
P0037,20.0,Prefer not to say,Android,Beginner,1.0,74.70560099936868,5.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,6.0,5.0,4.0,6.861135452918979,7.165841216089482,-4.8366420256655775,7.162215023098601,6.09291467590132,5.1429165684917235,1.0
P0038,26.0,F,iOS,Beginner,1.0,94.3959099125184,4.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,21.0,10.36889980725372,2.3403709315136556,6.911628524491313,7.108404615791721,3.2723776985306685,1.0
P0039,44.0,F,iOS,Beginner,1.0,48.86900141770042,4.0,4.0,4.0,5.0,4.0,2.0,3.0,1.0,4.0,,5.0,5.0,4.0,21.0,4.708404878057493,-4.753023949567085,3.7494849239547556,6.324263332205605,4.735833446451849,1.0
P0040,40.0,F,Android,Intermediate,1.0,185.98959722716657,1.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,4.0,7.0,5.0,4.0,11.103025147304221,11.844083535006705,-0.9527644587302655,7.127599360300163,6.403520308584242,6.036261776122575,1.0
P0041,18.0,F,iOS,Intermediate,1.0,29.426731290792834,5.0,2.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,10.306092600002865,9.810170749856725,-4.852702201500681,6.181839743946883,7.580209591989906,5.222788047361968,0.0
P0042,34.0,F,Android,Beginner,1.0,47.1716626986277,5.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,6.0,16.35980048389136,6.904550698790632,-3.793242856211129,4.523546760684175,6.048272864349707,4.4346135559953055,1.0
