Participant_ID,Age,Gender,Device_Type,Experience_Level,Task_Success,Completion_Time_s,SUS_Q1,SUS_Q2,SUS_Q3,SUS_Q4,SUS_Q5,SUS_Q6,SUS_Q7,SUS_Q8,SUS_Q9,SUS_Q10,UEQ_Attractiveness,UEQ_Efficiency,UEQ_Perspicuity,NASA_TLX_Mental,NASA_TLX_Temporal,NASA_TLX_Frustration,Trust_Score,Ease_of_Use,Willingness_to_Reuse,Attention_Check_Passed
P0001,38.0,M,Desktop,Intermediate,0.0,35.143432633931745,3.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,7.0,6.0,9.206093086359473,8.817928969662622,4.667618794665237,5.168827939759812,3.7782233081748284,5.381959573709144,1.0
P0002,29.0,F,Android,Intermediate,0.0,149.47740649327662,4.0,5.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,6.0,6.0,10.853054221135563,9.121867490818046,4.880342974144999,4.591826736292047,4.5980053080015475,5.575783690367344,1.0
P0003,18.0,Other,Desktop,Advanced,1.0,174.77485145717182,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,,5.0,5.0,,12.764854613447337,14.037851819034397,-2.9275124390765987,7.438585410204164,5.850433891012946,5.452262500458321,1.0
P0004,62.0,F,Desktop,Intermediate,1.0,53.85139614812328,5.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,5.0,6.0,6.0,17.942273172832948,3.9745596404456105,-2.7794307508179537,6.899072475795428,4.374051468730138,4.022974598050113,
P0005,18.0,F,iOS,Beginner,1.0,46.921358611189156,3.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,2.0,4.0,7.0,4.0,5.0,13.690552578977487,13.681584987911076,-4.13867648675312,5.640563515333229,7.221245685003533,4.7308198049061705,1.0
P0006,26.0,M,iOS,Advanced,1.0,102.08177050496414,5.0,2.0,1.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,6.0,4.0,21.0,5.7360659407080155,-3.0274704038518405,5.640998796157709,6.080700063501581,5.287306061647332,1.0
P0007,22.0,M,Android,Intermediate,1.0,11.844051298028566,3.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,19.311424610579596,12.099826815473754,2.4476769746103235,7.315376930537349,7.312137836244923,5.330685081070306,0.0
P0008,54.0,F,iOS,Intermediate,1.0,54.038807939114825,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,6.0,6.0,15.634159000774686,7.289304611385743,2.274559000605829,6.931409516496854,6.277652899541635,4.673464867417231,1.0
P0009,,M,iOS,Advanced,1.0,41.62228365373624,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,7.0,3.0,5.0,13.345200427774394,16.64828087311523,-2.095257084454088,7.7527192257803375,6.196738301533239,5.735713904505863,0.0
P0010,26.0,M,Android,Intermediate,1.0,212.76613163580848,5.0,,4.0,,3.0,1.0,5.0,5.0,4.0,5.0,5.0,7.0,3.0,11.9725101215306,14.573221734296633,-4.823247342419717,4.829222772867443,5.835533512021592,4.488209011574065,1.0
