User_ID,Session_ID,Timestamp,Event_Type,Event_Target,Click_X,Click_Y,Scroll_Depth_%,Dwell_Time_ms,Time_on_Page_s,Session_Length_s,Device_Type,Browser,Network_Speed_Mbps,Error_Code,Conversion
U00012,U00012_S3,2024-01-04 01:40:12,click,element_22,163.0,580.0,,,10.674243684406214,52.960176685930996,Mobile,Firefox,21.633323287578772,None,0.0
U00035,U00035_S1,2024-01-25 15:26:04,scroll,element_5,,,30.0,,17.084465514257133,32.41829313072323,Tablet,Edge,150.96218980853376,None,0.0
U00016,U00016_S2,2024-01-07 07:21:16,page_view,element_9,,,,2099.154823190687,43.05740305332674,78.40123783034633,Desktop,,21.697994102431494,None,1.0
U00035,U00035_S3,2024-01-28 05:46:08,click,element_42,1334.0,992.0,,,50.28822374467585,35.58505396904995,Tablet,Chrome,49.032339560491344,Timeout,0.0
U00016,U00016_S1,2024-02-27 07:27:15,form_submit,element_19,,,,,34.91344302865653,27.56782460340084,Tablet,Safari,16.89347973789891,404,0.0
U00043,U00043_S3,2024-01-08 20:04:09,click,element_24,1611.0,892.0,,,15.557617652729187,61.2922214269741,Mobile,Edge,41.15887976120649,None,0.0
U00042,U00042_S2,2024-02-07 05:00:55,form_submit,element_22,,,,,19.994121981455947,87.88957915871845,Mobile,Firefox,169.29021995787184,Timeout,0.0
U00027,U00027_S2,2024-01-20 09:14:01,form_submit,element_18,,,,,7.963792400366102,112.9554177836924,Tablet,Firefox,126.54516871878705,500,0.0
U00038,U00038_S3,2024-02-01 21:41:09,hover,element_47,78.0,1053.0,,599.4841411482321,19.3803982211805,296.54854797298896,Desktop,Firefox,13.16874359191799,None,0.0
U00038,U00038_S3,2024-02-06 09:22:09,form_submit,element_44,,,,,12.642546713859973,27.772401591757436,Desktop,Safari,34.52610145168337,500,0.0
U00044,U00044_S1,2024-03-15 22:53:49,click,element_42,958.0,489.0,,,38.738588188613605,46.63710345150603,Mobile,Chrome,18.951527417116484,None,0.0
U00032,U00032_S1,2024-02-05 21:24:02,form_submit,element_24,,,,,14.494374812940567,36.12708659562985,Mobile,Safari,234.45756561772427,None,0.0
U00026,U00026_S1,2024-03-18 13:10:44,click,element_19,698.0,625.0,,,4.279605506954091,184.59009255823906,Tablet,Safari,179.2082039580105,None,0.0
U00017,U00017_S3,2024-02-10 14:01:16,form_submit,element_28,,,,,66.76941652991358,55.853759808594205,Tablet,Edge,64.25059508629806,404,0.0
U00019,U00019_S2,2024-02-16 08:12:39,click,element_26,1809.0,986.0,,,25.240133517877794,43.67094944433529,Desktop,Edge,27.89457129132208,404,0.0
U00037,U00037_S1,2024-03-24 13:39:07,click,element_42,1164.0,430.0,,,8.824585753028709,67.2360505915544,Desktop,Firefox,29.10427835085229,Timeout,0.0
U00002,U00002_S3,2024-03-28 02:14:09,scroll,element_30,,,60.0,,56.702963599348344,170.239582986173,Mobile,Chrome,14.276000631984916,500,0.0
U00022,U00022_S3,2024-03-16 13:56:11,form_submit,element_1,,,,,74.11046719870211,39.6007188755353,Desktop,Safari,94.31945571009565,None,0.0
U00050,U00050_S3,2024-02-16 09:41:11,click,element_25,400.0,302.0,,,14.534370721141437,84.16772023201541,Tablet,Chrome,8.349382156047428,None,0.0
U00049,U00049_S3,2024-03-26 05:42:50,click,element_46,1096.0,460.0,,,,121.82104834856167,Mobile,Edge,20.6511807533899,500,0.0
U00004,U00004_S3,2024-03-13 20:09:26,,element_3,1153.0,993.0,,,25.666467002828142,88.55507650599793,Mobile,Firefox,53.23720974944752,None,0.0
,U00021_S3,2024-02-23 01:51:49,hover,element_41,119.0,991.0,,178.8881495428701,17.865098050176297,35.88011974517828,Tablet,Firefox,15.762102401647848,404,0.0
U00046,U00046_S1,2024-03-28 23:29:34,form_submit,element_33,,,,,50.63584829909682,66.70623361320405,Desktop,Safari,40.62072672807323,None,0.0
U00016,U00016_S3,2024-01-24 04:17:34,hover,element_29,380.0,535.0,,775.3699247514733,55.77522444520173,113.58953405351056,Desktop,Edge,181.69405328901036,Timeout,0.0
U00026,U00026_S2,2024-02-01 12:36:41,click,element_3,1147.0,481.0,,,36.54009921784591,25.99562446483053,Mobile,Safari,50.47428525327963,Timeout,0.0
U00041,U00041_S1,2024-01-19 20:27:27,click,element_23,733.0,1010.0,,,6.873526764172548,36.688844817760426,Desktop,Edge,39.26466164926816,404,0.0
U00027,U00027_S1,2024-01-19 00:40:21,page_view,element_5,,,,,6.008747869429796,123.56547805664633,Tablet,Edge,38.10312238913228,None,0.0
U00012,U00012_S3,2024-02-21 16:54:31,click,element_36,1192.0,35.0,,,21.92078328226985,31.617896986361053,Desktop,Chrome,20.754616802567416,500,0.0
