Participant_ID,Stimulus_ID,AOI_Label,Fixation_Count,Fixation_Duration_ms,Dwell_Time_ms,Time_to_First_Fixation_ms,First_Fixation_Duration_ms,Saccade_Count,Gaze_Path_Length_px,Average_Pupil_Diameter_mm,Blink_Rate_per_s,Entry_Time_s,Exit_Time_s,Condition
P0001,Stim_3,Footer,75.0,705.3871763314683,1785.3281752429077,28.085248391914092,87.16069014897221,17.0,7483.024365301284,3.0,0.33846702374264803,7.932971067675371,8.90668987030502,Design_B
P0002,Stim_18,Sidebar,24.0,116.62496899234101,268.8128245891176,181.91209793309997,214.42933644396732,15.0,,4.074188954036437,,19.079748321965052,25.635106312279785,Design_A
P0003,Stim_16,Header,28.0,236.655713789701,139.880818559328,13.750571483051878,70.10249167708554,20.0,10155.9390012764,3.9961470583639063,0.9468906073933872,3.491126986632036,15.07722915300667,Design_A
P0004,Stim_3,Navigation,9.0,174.42250083240017,133.70900146593695,783.1309329040603,103.64939616168213,10.0,1376.1888012217953,3.632200172895747,0.3751739309264205,4.861273338417094,13.539749172851229,Design_B
P0005,Stim_7,Content,101.0,200.76263977809722,687.5516829514578,21.636633232318122,158.505528544085,18.0,8955.261455169195,3.4910898058153066,1.135536247621405,3.313821714201557,,Design_A
P0006,Stim_16,Header,82.0,105.51344141839927,226.90066635321782,308.1134763642555,283.85159197061665,11.0,4486.447126340328,4.5641508675674,0.24550544456186338,14.940363130649237,16.40067583588322,Design_B
P0007,Stim_12,Header,17.0,669.0787141631945,6015.464689858953,168.61642059935934,207.47647565119888,16.0,3406.9298139367784,3.8685456076150726,0.5373720423677454,18.430476358656744,25.794080782790562,Design_B
P0008,Stim_3,Navigation,22.0,116.21645212117063,3174.7496650188054,8.512709035989529,253.5524182462792,13.0,113034.31959327825,3.805564191256063,0.16287764616660466,17.055866861907674,22.27291439105503,Control
P0009,Stim_12,,47.0,301.64011526916175,781.5654886383018,202.96936768422987,86.03765732055473,14.0,12474.338255269295,4.842318718616457,0.17653784019034088,3.8785512304586844,8.694291698815437,Design_B
P0010,,Sidebar,21.0,110.45232338437539,1486.8582900082463,229.9364918843754,114.32950181174589,14.0,21369.91631813536,3.9358193395478103,0.5284568447833549,3.6649001546940796,15.95071196397918,Design_B
P0011,Stim_10,Header,15.0,146.4599961490761,168.1222035431063,142.95825916521784,102.4429451939894,12.0,1455.1214455570118,4.262389226027558,0.4498478226747714,4.638322938465529,7.432408816513496,Design_A
P0012,Stim_8,Header,12.0,418.7741853077868,867.737673549788,57.17248852441435,108.23731790041938,12.0,25335.200046312777,4.322789492401548,0.43004761024893245,9.150483606976339,23.882129991944755,Design_A
P0013,Stim_20,CTA_Button,5.0,144.26511799364235,363.37633574788475,560.2615192332595,63.38061005525733,18.0,5374.769209571659,5.494115756650613,0.24182129522568793,18.113032058846738,27.56408584032599,Design_B
P0014,Stim_2,Sidebar,3.0,160.42201066670862,4212.221378230991,82.34596314139878,102.64454092122746,20.0,2198.7424685289975,4.069362300201301,0.23867803256631315,9.447018697252805,27.529739350162743,Design_B
P0015,Stim_6,Header,75.0,107.21937688429743,167.68129462396422,246.53886379511306,263.65894643972416,20.0,25685.7144942829,3.9852998846393053,0.4947365260229569,17.39043233745734,27.17067607735745,Design_B
P0016,Stim_5,Content,11.0,40.03460009543802,548.5022485202599,919.2016076624013,60.07545126857698,16.0,6814.944955849139,4.492084763740811,0.5389614105219745,6.453913516770542,28.936547824794058,Control
P0017,Stim_18,Footer,42.0,185.11914938707434,8250.004494952722,511.59581561562715,72.9830722094645,10.0,558.1427184048373,3.334719341440883,0.23602955019211605,19.10542890839541,23.455114419374826,Control
P0018,Stim_14,Sidebar,10.0,242.11446910003966,3364.7342468132438,114.01025274955319,94.79363873100857,13.0,10171.872114875147,4.381548777193994,0.3380590671319164,16.86684400518754,24.28936473800118,Control
P0019,Stim_10,Content,32.0,159.6446320597028,2009.9343680557765,13.18925847936084,139.70146421082254,21.0,15908.803035660098,5.029857926783932,0.5235503748632059,12.956605743302596,22.467403887471292,Control
P0020,Stim_8,Navigation,9.0,239.08027496615043,122.6996135393422,,76.6484912547451,15.0,10880.143137573124,3.160705754247432,0.2655545331833781,6.542748424220546,9.270234424050306,Control
P0021,Stim_2,CTA_Button,15.0,150.21845953259276,340.37887139481336,230.27348318981208,53.496510218179374,18.0,3583.3042993624763,3.5783817288044744,0.22441658534546524,6.063390229629338,7.305588035091332,Control
P0022,Stim_2,Content,9.0,346.0287516644377,832.2778382576728,179.94264683242602,337.8317599353382,17.0,4371.666892989922,5.389366908017041,0.5555747473064708,18.752155772897442,24.302481955653768,Design_B
P0023,Stim_16,Footer,7.0,132.18152470852138,309.0862385111678,32.39932120789019,230.49535514770955,17.0,9733.384524750669,4.835626007890388,0.5706909617034039,11.666349314590189,16.524020714010366,
