Participant_ID,Card_ID,Card_Label,Assigned_Category,Category_Correct,Confidence_Rating,Task_Success,Path_Length,Time_on_Task_s,Design_Version
P0001,Card_1,Home,Resources,1.0,3.0,1.0,1.0,29.15745111677226,Current
P0002,Card_2,Research,Administration,1.0,5.0,1.0,5.0,40.94071409964254,Current
P0003,Card_3,Contact,Academics,1.0,3.0,1.0,2.0,85.78837835025753,Proposed
P0004,Card_4,Research,Resources,1.0,4.0,0.0,2.0,31.403176178645285,Proposed
P0005,Card_5,Campus,Administration,1.0,4.0,0.0,1.0,42.23092110742818,Current
P0006,Card_6,Courses,Administration,0.0,3.0,1.0,7.0,49.4087576502378,Current
P0007,Card_7,Contact,Main_Nav,0.0,3.0,1.0,3.0,68.45433144609636,Current
P0008,Card_8,Research,Administration,1.0,5.0,1.0,5.0,34.29647459270093,Proposed
P0009,Card_9,Courses,Main_Nav,1.0,4.0,1.0,3.0,14.41278136138621,Proposed
P0010,Card_10,Courses,Resources,1.0,3.0,1.0,3.0,47.811780364175206,Proposed
P0011,Card_11,Campus,Administration,1.0,5.0,0.0,7.0,98.74638402356364,Proposed
P0012,Card_12,Courses,Academics,1.0,5.0,1.0,5.0,47.911539865119856,Proposed
P0013,Card_13,Faculty,Administration,1.0,2.0,1.0,3.0,61.64207950111738,Current
P0014,Card_14,Courses,Main_Nav,1.0,5.0,1.0,4.0,116.26610072190809,Proposed
P0015,Card_15,Admissions,Academics,1.0,2.0,1.0,9.0,158.35417248881436,Proposed
,Card_16,Contact,Main_Nav,1.0,4.0,1.0,4.0,63.344521313466636,Current
P0017,Card_17,Research,Resources,1.0,3.0,1.0,3.0,28.45728697395317,Proposed
P0018,Card_18,Campus,Main_Nav,1.0,4.0,1.0,2.0,38.80736193428865,Proposed
P0019,Card_19,Contact,Administration,1.0,5.0,1.0,3.0,301.5668713134962,Proposed
P0020,Card_20,Admissions,Administration,1.0,5.0,1.0,3.0,10.160966850302096,Current
P0021,Card_21,Contact,Administration,1.0,3.0,1.0,2.0,20.527845410354047,Current
P0022,Card_22,Contact,Resources,1.0,2.0,1.0,5.0,55.919981525587936,Proposed
P0023,Card_23,Research,Academics,0.0,1.0,1.0,2.0,99.75899007272866,Current
P0024,Card_24,Contact,Administration,1.0,4.0,1.0,3.0,164.806387050314,Proposed
P0025,Card_25,Contact,Main_Nav,1.0,3.0,0.0,4.0,52.148281830303574,Proposed
P0026,Card_26,Admissions,Academics,1.0,4.0,1.0,4.0,108.91830222262377,Proposed
P0027,Card_27,Admissions,Main_Nav,,5.0,1.0,1.0,92.63383179402143,Current
P0028,Card_28,Home,Main_Nav,1.0,4.0,1.0,2.0,24.88768822256948,Proposed
P0029,Card_29,About,Administration,1.0,3.0,0.0,5.0,248.70273329997346,Proposed
P0030,Card_30,About,Administration,1.0,3.0,1.0,,37.853203097361856,Proposed
P0031,Card_31,Admissions,Academics,1.0,1.0,1.0,1.0,12.227259340317737,Proposed
P0032,Card_32,Courses,Administration,0.0,3.0,1.0,2.0,62.29317275850815,Current
P0033,Card_33,Courses,Main_Nav,1.0,3.0,0.0,8.0,205.38011146815023,Current
P0034,Card_34,About,Administration,1.0,5.0,1.0,3.0,70.49814917837803,Proposed
P0035,Card_35,,Academics,1.0,3.0,1.0,2.0,95.18065887971046,Proposed
P0036,Card_36,Contact,Academics,1.0,1.0,1.0,6.0,50.24241345377769,Current
P0037,Card_37,About,Resources,1.0,,1.0,3.0,61.111702867330074,Proposed
P0038,Card_38,Research,Resources,1.0,2.0,1.0,7.0,48.948495529227,Proposed
P0039,Card_39,Contact,Main_Nav,1.0,4.0,1.0,0.0,47.31283670976981,Proposed
P0040,Card_40,Research,Academics,1.0,4.0,1.0,6.0,25.10514209280166,Current
P0041,Card_41,Faculty,Main_Nav,0.0,4.0,1.0,2.0,71.92934181385299,Current
