Participant_ID,Card_ID,Card_Label,Assigned_Category,Category_Correct,Confidence_Rating,Task_Success,Path_Length,Time_on_Task_s,Design_Version
P0001,Card_1,Campus,Resources,1.0,4.0,1.0,3.0,53.64051750045759,Current
P0002,Card_2,Contact,Administration,0.0,3.0,1.0,4.0,14.672183930654922,Current
P0003,Card_3,Faculty,Main_Nav,1.0,4.0,0.0,1.0,123.55054729848325,Proposed
P0004,Card_4,Contact,Resources,1.0,3.0,1.0,1.0,56.96992654909782,Proposed
P0005,Card_5,Campus,Administration,1.0,4.0,1.0,0.0,25.910598200949288,Proposed
P0006,Card_6,Research,Academics,1.0,4.0,,2.0,94.47737031915558,Proposed
P0007,Card_7,Courses,Resources,1.0,2.0,1.0,1.0,63.46522235703525,Proposed
P0008,Card_8,Research,Academics,1.0,5.0,1.0,1.0,50.480128955820405,Proposed
P0009,Card_9,Home,Administration,1.0,2.0,1.0,5.0,22.56183508679237,Current
P0010,Card_10,Courses,Main_Nav,1.0,3.0,1.0,2.0,157.5038787368276,Current
P0011,Card_11,Faculty,Main_Nav,0.0,,1.0,1.0,26.891692856014146,Current
P0012,Card_12,Admissions,Administration,1.0,1.0,0.0,2.0,38.31137086757423,Proposed
P0013,Card_13,Research,Academics,1.0,5.0,1.0,5.0,135.3798009238816,Proposed
P0014,Card_14,Campus,Academics,1.0,4.0,1.0,2.0,11.348168778541257,Proposed
P0015,Card_15,Home,Administration,1.0,1.0,1.0,2.0,82.31123892194668,Proposed
P0016,Card_16,Home,Resources,1.0,2.0,0.0,4.0,43.462974222033615,Current
P0017,Card_17,Home,Resources,1.0,2.0,1.0,4.0,38.96662176887934,Proposed
P0018,Card_18,Campus,Administration,1.0,3.0,1.0,3.0,202.90510054832836,Proposed
P0019,Card_19,Admissions,Main_Nav,1.0,4.0,1.0,2.0,65.51919884716504,Current
P0020,Card_20,Research,Main_Nav,1.0,2.0,1.0,1.0,201.55333539598294,Current
P0021,Card_21,Faculty,Academics,1.0,4.0,1.0,0.0,101.70402248480842,Current
P0022,Card_22,Admissions,Main_Nav,0.0,4.0,1.0,2.0,55.64639099333956,Current
P0023,Card_23,Admissions,Academics,1.0,4.0,1.0,2.0,207.81478122816856,Current
P0024,Card_24,Campus,Main_Nav,1.0,5.0,1.0,3.0,45.03324708212716,Proposed
P0025,Card_25,Contact,Main_Nav,1.0,3.0,1.0,3.0,108.00496485270357,Proposed
P0001,Card_26,Courses,Academics,1.0,4.0,1.0,4.0,63.973678549026694,Proposed
P0002,Card_27,,Academics,1.0,4.0,1.0,2.0,167.04387254219344,Proposed
P0003,Card_28,About,Academics,1.0,3.0,0.0,3.0,29.11702584954986,Current
P0004,Card_29,Contact,Administration,1.0,4.0,0.0,1.0,16.714533061817765,Proposed
P0005,Card_30,Courses,Academics,1.0,3.0,1.0,2.0,36.347786201385084,Current
P0006,Card_31,Campus,Academics,0.0,4.0,,3.0,72.82930288642082,Current
P0007,Card_32,Contact,Resources,1.0,4.0,0.0,3.0,88.78370668450913,Proposed
P0008,Card_33,About,Academics,1.0,4.0,1.0,5.0,26.935885022839273,Proposed
P0009,Card_34,Contact,Academics,1.0,4.0,1.0,6.0,30.52633440087538,Current
P0010,Card_35,Campus,Resources,1.0,3.0,1.0,0.0,71.87305309304423,Proposed
P0011,Card_36,About,Administration,1.0,3.0,1.0,1.0,89.154627712577,Current
P0012,Card_37,Campus,Resources,0.0,2.0,1.0,6.0,88.17045808405163,Current
P0013,Card_38,About,Resources,1.0,3.0,1.0,3.0,62.0031430354838,Proposed
P0014,Card_39,Courses,Academics,0.0,4.0,1.0,5.0,53.94926979123204,Current
P0015,Card_40,Research,Administration,1.0,4.0,1.0,1.0,63.78453660754857,Current
P0016,Card_41,Contact,Resources,0.0,2.0,1.0,4.0,64.85955853671135,Current
