User_ID,Session_ID,Referral_Source,Device_Type,Region,Step_1_Visited,Step_2_Clicked,Step_3_Submitted,Step_4_Confirmed,Completion,Exit_Step,Time_Between_Steps_s
U00001,S00001,Referral,Tablet,West,1.0,1.0,1.0,1.0,1.0,0.0,11.860407020755353
U00002,S00002,Paid,Mobile,West,1.0,1.0,1.0,0.0,0.0,4.0,15.666416865756553
U00003,S00003,Referral,Desktop,West,1.0,1.0,0.0,0.0,0.0,3.0,27.96124678158824
U00004,S00004,Organic,Desktop,South,1.0,1.0,0.0,0.0,0.0,3.0,56.730680142152906
U00005,S00005,Organic,Desktop,North,1.0,1.0,0.0,0.0,0.0,3.0,8.911757987251283
U00006,S00006,Organic,Desktop,North,1.0,1.0,1.0,0.0,0.0,4.0,48.97801611005561
U00007,S00007,Organic,Mobile,West,1.0,1.0,0.0,0.0,0.0,3.0,10.27360121827189
U00008,S00008,Referral,Mobile,North,1.0,1.0,0.0,0.0,0.0,3.0,54.909736702827274
U00009,S00009,Organic,Tablet,North,1.0,1.0,0.0,0.0,0.0,3.0,44.12613778122287
U00010,S00010,Referral,Tablet,West,1.0,1.0,1.0,0.0,0.0,4.0,33.55235263338521
U00011,S00011,Paid,Mobile,East,1.0,1.0,1.0,0.0,0.0,4.0,15.692445399379912
U00012,S00012,Organic,Tablet,East,1.0,0.0,0.0,0.0,0.0,2.0,12.551840519168406
U00013,S00013,Direct,Desktop,West,1.0,1.0,0.0,0.0,0.0,,12.163065427730414
U00014,S00014,Organic,Desktop,North,1.0,0.0,0.0,0.0,0.0,2.0,43.48529000520414
U00015,S00015,Social,Mobile,South,1.0,1.0,0.0,0.0,0.0,3.0,7.252286350698487
U00016,S00016,Organic,Desktop,South,1.0,1.0,1.0,0.0,0.0,4.0,27.689939242336852
U00017,S00017,Organic,Desktop,South,1.0,1.0,1.0,0.0,0.0,4.0,13.500945942408203
U00018,S00018,Referral,Tablet,North,1.0,0.0,0.0,0.0,0.0,2.0,139.20811666587545
U00019,S00019,Organic,Mobile,East,1.0,1.0,1.0,0.0,0.0,4.0,35.55884279345811
U00020,S00020,Paid,Desktop,East,1.0,0.0,0.0,0.0,0.0,,7.388678231094691
U00021,S00021,Social,Desktop,West,1.0,1.0,1.0,0.0,0.0,4.0,13.52613931408761
U00022,S00022,Organic,Desktop,South,1.0,1.0,1.0,0.0,0.0,4.0,11.64134831359385
U00023,S00023,Referral,Mobile,East,1.0,0.0,0.0,0.0,0.0,2.0,28.200324124512814
U00024,S00024,Paid,Mobile,West,1.0,1.0,0.0,0.0,0.0,3.0,5.026365461344032
U00025,S00025,Organic,Mobile,West,1.0,1.0,0.0,0.0,0.0,3.0,8.690346697521282
U00026,S00026,Paid,Mobile,East,1.0,1.0,0.0,0.0,0.0,3.0,8.197451529846742
U00027,S00027,Referral,Mobile,East,1.0,,0.0,0.0,0.0,3.0,18.587398652695203
U00028,S00028,Direct,Mobile,West,1.0,0.0,0.0,0.0,0.0,2.0,24.590029239652768
U00029,S00029,Referral,Mobile,South,1.0,1.0,1.0,0.0,0.0,4.0,16.19691477630014
U00030,S00030,Direct,Mobile,South,1.0,1.0,1.0,0.0,0.0,4.0,20.59334844956807
,S00031,Organic,Tablet,North,1.0,1.0,0.0,0.0,0.0,3.0,7.652478375273923
U00032,S00032,Organic,Mobile,North,1.0,1.0,0.0,0.0,0.0,3.0,32.71599638849909
U00033,S00033,Paid,Desktop,North,1.0,1.0,1.0,0.0,0.0,4.0,18.818357762114275
U00034,S00034,Direct,Tablet,West,1.0,0.0,0.0,0.0,0.0,2.0,53.80754052739935
U00035,S00035,Paid,Tablet,South,1.0,1.0,1.0,0.0,0.0,4.0,50.401458396941905
U00036,S00036,Paid,Desktop,South,1.0,1.0,1.0,1.0,1.0,0.0,15.839197659437465
U00037,S00037,Organic,Mobile,East,1.0,1.0,0.0,0.0,0.0,3.0,7.604852463551029
U00038,S00038,Organic,Mobile,North,1.0,1.0,1.0,0.0,0.0,4.0,14.079520975511178
U00039,S00039,Referral,Mobile,South,1.0,1.0,0.0,0.0,0.0,3.0,42.14905205718978
U00040,S00040,Paid,Desktop,West,1.0,0.0,0.0,0.0,0.0,2.0,15.068869287011266
U00041,S00041,Direct,Desktop,South,1.0,1.0,0.0,0.0,0.0,3.0,23.313255439790137
U00042,S00042,Paid,Tablet,North,1.0,0.0,0.0,0.0,0.0,2.0,10.72940576211233
U00043,S00043,Referral,Desktop,South,1.0,1.0,0.0,0.0,0.0,3.0,12.204128702725852
U00044,S00044,Social,Desktop,East,1.0,1.0,1.0,0.0,0.0,4.0,33.957018989453346
U00045,S00045,Referral,Desktop,West,1.0,1.0,0.0,0.0,0.0,3.0,12.835713399325755
U00046,S00046,Paid,Mobile,South,1.0,1.0,0.0,0.0,,3.0,17.166163182201615
U00047,S00047,Direct,Mobile,South,1.0,1.0,1.0,1.0,1.0,0.0,24.022747906471597
U00048,S00048,Direct,Desktop,South,1.0,1.0,1.0,0.0,0.0,4.0,3.6228826577449205
U00049,S00049,Organic,Tablet,South,1.0,0.0,0.0,0.0,0.0,2.0,
U00050,S00050,Direct,Tablet,North,1.0,1.0,1.0,1.0,1.0,0.0,13.792777334535023
U00051,S00051,Organic,Mobile,North,1.0,0.0,0.0,0.0,0.0,2.0,30.87096855952559
U00052,S00052,Social,Tablet,East,1.0,1.0,0.0,0.0,0.0,3.0,11.71407460542275
