User_ID,Session_ID,Referral_Source,Device_Type,Region,Step_1_Visited,Step_2_Clicked,Step_3_Submitted,Step_4_Confirmed,Completion,Exit_Step,Time_Between_Steps_s
U00001,S00001,Referral,,West,1.0,1.0,0.0,0.0,0.0,3.0,20.646449367641512
U00002,S00002,Social,Tablet,South,1.0,1.0,0.0,0.0,0.0,3.0,9.237624546237775
U00003,S00003,Paid,Mobile,South,1.0,0.0,0.0,0.0,0.0,2.0,
U00004,S00004,Referral,Mobile,East,0.0,0.0,0.0,0.0,0.0,1.0,34.10865994197152
,S00005,Referral,Mobile,South,,1.0,1.0,0.0,,4.0,11.976916655442913
U00006,S00006,Organic,Desktop,South,1.0,1.0,1.0,0.0,0.0,4.0,5.0081550306457565
U00007,S00007,Organic,Desktop,East,1.0,0.0,0.0,0.0,0.0,2.0,19.499924352131508
U00008,S00008,Organic,Mobile,South,1.0,1.0,1.0,0.0,0.0,4.0,14.161513697009868
U00009,S00009,Paid,Tablet,North,1.0,1.0,0.0,0.0,0.0,3.0,21.174191712156695
U00010,S00010,Direct,Tablet,East,1.0,1.0,0.0,0.0,0.0,3.0,19.518455766106158
U00011,S00011,Referral,Tablet,North,1.0,1.0,1.0,1.0,1.0,0.0,2.505489479573755
U00012,S00012,Paid,Desktop,North,1.0,1.0,0.0,0.0,0.0,3.0,42.73549459024489
U00013,S00013,Organic,Desktop,South,1.0,1.0,0.0,0.0,0.0,3.0,9.307135266524636
U00014,S00014,Organic,Desktop,East,1.0,1.0,1.0,1.0,1.0,0.0,69.14431099208383
U00015,S00015,Paid,Desktop,West,1.0,1.0,1.0,1.0,1.0,0.0,21.269195703508903
U00016,S00016,,Desktop,East,1.0,0.0,0.0,0.0,0.0,2.0,43.53849990288585
U00017,S00017,Referral,Mobile,South,0.0,0.0,0.0,0.0,0.0,1.0,33.17573861170721
U00018,S00018,Organic,Tablet,East,1.0,0.0,0.0,0.0,0.0,2.0,48.57188387839756
U00019,S00019,Organic,Desktop,South,1.0,1.0,1.0,1.0,1.0,0.0,15.360799441218443
,S00020,Referral,Desktop,West,1.0,1.0,0.0,0.0,0.0,3.0,16.778281497612888
U00021,S00021,Social,Tablet,South,1.0,1.0,1.0,0.0,0.0,4.0,40.407724492059735
U00022,S00022,Organic,Mobile,North,,0.0,0.0,0.0,0.0,,20.954543410969716
U00023,S00023,Referral,Mobile,West,1.0,1.0,1.0,0.0,0.0,4.0,13.383480419511784
U00024,S00024,Paid,Desktop,South,1.0,1.0,0.0,0.0,0.0,3.0,16.217820539088564
U00025,S00025,Paid,Mobile,South,1.0,1.0,0.0,0.0,0.0,3.0,22.508025052345104
U00026,S00026,Organic,Tablet,East,1.0,1.0,1.0,1.0,1.0,0.0,24.33520664217262
U00027,S00027,Direct,Desktop,East,1.0,1.0,1.0,0.0,0.0,4.0,52.83571113776749
U00028,S00028,Social,Mobile,South,1.0,1.0,0.0,0.0,0.0,3.0,12.198784373698834
U00029,S00029,Paid,Tablet,North,1.0,0.0,0.0,0.0,0.0,2.0,8.71114237138867
U00030,S00030,Organic,Mobile,East,1.0,0.0,0.0,0.0,0.0,2.0,50.67939590771611
U00031,S00031,Referral,Mobile,East,1.0,0.0,0.0,0.0,0.0,2.0,9.171542613430283
U00032,S00032,Organic,,West,1.0,1.0,1.0,0.0,0.0,4.0,18.445417747992973
U00033,S00033,Direct,Mobile,East,1.0,1.0,1.0,0.0,0.0,4.0,34.68080765699985
U00034,S00034,Referral,Tablet,North,1.0,1.0,,0.0,0.0,4.0,11.073800543237708
U00035,S00035,Referral,Tablet,South,1.0,1.0,1.0,0.0,0.0,4.0,17.55433251567505
U00036,S00036,Organic,Desktop,West,1.0,1.0,0.0,0.0,0.0,3.0,19.20768273428054
U00037,S00037,Direct,Tablet,South,1.0,0.0,0.0,0.0,0.0,2.0,10.726886489357748
U00038,S00038,Organic,Tablet,East,1.0,1.0,1.0,0.0,0.0,4.0,31.693539464827946
U00039,S00039,Paid,Mobile,South,1.0,1.0,0.0,0.0,0.0,3.0,62.60638249825454
,S00040,Referral,Mobile,North,1.0,,1.0,0.0,0.0,4.0,18.33195529036045
U00041,S00041,Paid,Tablet,South,1.0,1.0,1.0,1.0,1.0,0.0,33.3714304990338
U00042,S00042,Organic,Tablet,South,1.0,0.0,0.0,0.0,0.0,2.0,13.605502754835081
U00043,S00043,Paid,Tablet,East,1.0,1.0,0.0,0.0,0.0,3.0,16.88819205051316
U00044,S00044,Referral,Tablet,East,1.0,1.0,0.0,0.0,0.0,3.0,18.354790625153772
U00045,S00045,Referral,Mobile,North,1.0,1.0,0.0,0.0,0.0,3.0,6.847555322330252
U00046,S00046,Direct,Desktop,West,1.0,1.0,0.0,0.0,0.0,3.0,80.20470495210188
U00047,S00047,Social,Desktop,West,1.0,0.0,0.0,0.0,0.0,2.0,32.808104096950885
U00048,S00048,Social,Mobile,East,0.0,0.0,0.0,0.0,0.0,1.0,14.549650580171269
U00049,S00049,Social,Tablet,South,1.0,1.0,1.0,0.0,0.0,4.0,9.974173607009202
U00050,S00050,Paid,Desktop,North,1.0,0.0,0.0,0.0,0.0,,13.092257137608486
U00051,S00051,Direct,Mobile,South,1.0,1.0,0.0,0.0,0.0,3.0,8.914644949222748
U00052,S00052,Referral,Tablet,East,1.0,1.0,0.0,0.0,0.0,3.0,12.92182260773125
U00053,S00053,Referral,Desktop,South,1.0,1.0,1.0,1.0,1.0,0.0,42.558550114629526
U00054,S00054,Paid,Desktop,South,1.0,1.0,1.0,0.0,0.0,4.0,19.994384045769856
U00055,S00055,Referral,Mobile,East,1.0,,0.0,0.0,0.0,3.0,22.744472748711438
,S00056,Organic,Desktop,,1.0,,0.0,0.0,0.0,3.0,11.942779589267335
U00057,S00057,Paid,Mobile,South,1.0,,0.0,0.0,0.0,2.0,7.172016653705495
U00058,S00058,Social,Desktop,North,1.0,1.0,0.0,0.0,0.0,3.0,17.82567449596364
U00059,S00059,Social,Mobile,East,1.0,1.0,1.0,0.0,0.0,4.0,24.81123671060773
U00060,S00060,Direct,Tablet,East,1.0,1.0,0.0,0.0,0.0,3.0,9.524665086954585
U00061,S00061,Paid,Desktop,North,1.0,1.0,0.0,0.0,0.0,3.0,43.72288692590749
U00062,S00062,Referral,Mobile,North,1.0,0.0,0.0,0.0,0.0,2.0,36.527191483963136
U00063,S00063,Organic,Tablet,West,1.0,0.0,0.0,0.0,0.0,2.0,18.16522714275458
U00064,S00064,Organic,Mobile,East,1.0,1.0,1.0,0.0,0.0,4.0,9.413126857304325
U00065,S00065,Organic,Desktop,North,1.0,0.0,,0.0,0.0,2.0,8.049051404826397
U00066,S00066,Organic,Mobile,East,1.0,0.0,0.0,0.0,0.0,2.0,13.275729520511263
U00067,S00067,Direct,Desktop,East,1.0,0.0,0.0,0.0,0.0,2.0,19.985275136736593
U00068,S00068,Paid,Tablet,North,1.0,0.0,0.0,0.0,0.0,2.0,4.8400535549859445
U00069,S00069,Paid,Mobile,West,1.0,1.0,0.0,0.0,0.0,3.0,21.1009715059907
U00070,S00070,Referral,Desktop,South,1.0,1.0,0.0,0.0,0.0,3.0,21.344142519210926
U00071,S00071,Organic,,South,1.0,1.0,1.0,0.0,0.0,4.0,19.900604715408278
U00072,S00072,Referral,Mobile,East,1.0,0.0,0.0,0.0,0.0,2.0,36.74232000353334
U00073,,Organic,Tablet,West,1.0,1.0,1.0,0.0,0.0,4.0,18.894334781557728
U00074,S00074,Paid,Mobile,East,1.0,1.0,1.0,1.0,1.0,0.0,57.89522781467549
U00075,S00075,Social,Mobile,South,1.0,1.0,1.0,0.0,0.0,4.0,32.302792157108826
U00076,S00076,Social,Mobile,South,1.0,1.0,0.0,,0.0,3.0,8.66328260707339
U00077,S00077,Organic,Mobile,West,1.0,0.0,0.0,0.0,0.0,2.0,77.52572170375102
U00078,S00078,Referral,Mobile,North,1.0,0.0,0.0,0.0,0.0,2.0,17.600571279648037
U00079,S00079,Paid,Tablet,West,1.0,1.0,1.0,1.0,1.0,0.0,29.915593612964
U00080,S00080,Referral,Mobile,West,1.0,,1.0,1.0,1.0,0.0,17.585619353779926
U00081,S00081,Referral,Tablet,East,1.0,0.0,0.0,0.0,0.0,2.0,48.9368598788064
U00082,S00082,Organic,Desktop,East,1.0,0.0,0.0,0.0,0.0,2.0,6.092713759581307
U00083,S00083,Paid,Desktop,,1.0,1.0,1.0,1.0,1.0,,8.69678764476638
U00084,S00084,Paid,Mobile,North,1.0,1.0,1.0,0.0,0.0,4.0,44.14143580922421
U00085,S00085,Organic,Tablet,West,0.0,0.0,0.0,0.0,0.0,1.0,19.458290223912197
U00086,S00086,Social,Desktop,East,1.0,1.0,1.0,0.0,0.0,4.0,7.941296879135116
U00087,S00087,Paid,Mobile,West,1.0,1.0,0.0,0.0,0.0,3.0,7.85167191987798
U00088,S00088,Organic,Mobile,East,1.0,1.0,1.0,0.0,0.0,4.0,31.781713180116192
U00089,S00089,Direct,Desktop,South,1.0,1.0,1.0,0.0,0.0,4.0,31.14790099855367
U00090,S00090,Paid,Desktop,South,1.0,,0.0,0.0,0.0,3.0,100.20554444551217
U00091,S00091,Referral,Desktop,East,1.0,,1.0,0.0,0.0,4.0,6.529320200452104
U00092,S00092,Paid,Mobile,West,1.0,1.0,0.0,0.0,0.0,3.0,24.566161978480324
U00093,S00093,Paid,Tablet,North,1.0,1.0,0.0,0.0,0.0,3.0,6.388011230533495
U00094,S00094,Paid,Tablet,East,0.0,0.0,0.0,0.0,0.0,1.0,33.008377819630596
U00095,S00095,Direct,Desktop,West,1.0,1.0,0.0,0.0,0.0,3.0,180.9091294445141
U00096,S00096,Organic,Mobile,North,1.0,1.0,0.0,0.0,0.0,3.0,13.338621216803078
U00097,S00097,Organic,Tablet,West,1.0,0.0,0.0,0.0,0.0,2.0,5.4536066649393815
U00098,S00098,Direct,Desktop,South,1.0,1.0,1.0,0.0,0.0,4.0,44.448989157893514
U00099,S00099,Direct,Desktop,North,1.0,1.0,0.0,0.0,0.0,3.0,12.412898231989779
U00100,S00100,Direct,Desktop,West,1.0,1.0,1.0,1.0,1.0,0.0,45.973423598854644
U00101,S00101,Social,Mobile,West,1.0,1.0,1.0,0.0,0.0,4.0,11.813968976183501
U00102,S00102,Referral,Desktop,West,0.0,0.0,0.0,0.0,0.0,1.0,20.65579774216051
U00103,S00103,Social,Desktop,South,,0.0,0.0,0.0,0.0,2.0,27.73254416262638
U00104,S00104,Paid,Desktop,South,1.0,1.0,0.0,0.0,0.0,3.0,18.94127247114426
U00105,S00105,Organic,Desktop,North,1.0,1.0,0.0,0.0,0.0,3.0,24.86482988704288
U00106,S00106,Organic,Tablet,South,1.0,1.0,1.0,1.0,1.0,0.0,37.73062357217497
U00107,S00107,,Tablet,North,1.0,1.0,1.0,0.0,0.0,4.0,35.20304937903632
U00108,S00108,Referral,Desktop,West,1.0,0.0,0.0,0.0,0.0,2.0,35.633228483730534
U00109,S00109,Direct,Tablet,South,1.0,1.0,1.0,0.0,0.0,4.0,10.155462033440099
U00110,S00110,Paid,Tablet,North,1.0,1.0,1.0,0.0,0.0,4.0,54.57643429707319
U00111,S00111,Direct,Desktop,West,1.0,0.0,0.0,0.0,0.0,2.0,12.336022984166059
