User_ID,Session_ID,Referral_Source,Device_Type,Region,Step_1_Visited,Step_2_Clicked,Step_3_Submitted,Step_4_Confirmed,Completion,Exit_Step,Time_Between_Steps_s
U00001,S00001,Paid,Desktop,East,1.0,1.0,0.0,0,0.0,3.0,24.321718200048647
U00002,S00002,Organic,Desktop,East,1.0,1.0,0.0,0,0.0,3.0,5.316876021530213
U00003,S00003,Organic,Desktop,East,1.0,1.0,0.0,0,0.0,3.0,26.516210227940434
U00004,S00004,Paid,Desktop,East,1.0,1.0,1.0,0,0.0,4.0,12.497752872732944
U00005,S00005,Paid,Mobile,South,1.0,1.0,1.0,1,1.0,0.0,8.021620014831042
U00006,S00006,Social,Tablet,South,1.0,1.0,1.0,0,0.0,4.0,29.665546646441143
U00007,S00007,Paid,Desktop,East,1.0,0.0,0.0,0,0.0,2.0,6.518710336477982
U00008,S00008,Direct,Tablet,North,1.0,1.0,0.0,0,0.0,3.0,21.998862032623915
U00009,S00009,Direct,Desktop,East,1.0,1.0,1.0,1,1.0,0.0,7.096376197147067
U00010,S00010,Paid,Mobile,East,0.0,0.0,0.0,0,0.0,1.0,37.55338795789454
U00011,S00011,Paid,Desktop,South,1.0,1.0,0.0,0,0.0,3.0,101.5575934876245
U00012,S00012,Paid,Tablet,North,1.0,1.0,1.0,0,0.0,4.0,62.089775032503084
U00013,S00013,Organic,Tablet,South,1.0,1.0,,0,0.0,3.0,23.59107364932438
U00014,S00014,Social,Desktop,West,1.0,1.0,0.0,0,0.0,3.0,19.81394604663905
U00015,S00015,Social,Tablet,East,1.0,1.0,1.0,1,1.0,0.0,26.166797810162688
U00016,S00016,Referral,Tablet,South,0.0,0.0,0.0,0,0.0,1.0,34.65756020379153
U00017,S00017,Paid,Tablet,West,1.0,,0.0,0,0.0,2.0,34.01888546511638
U00018,S00018,Direct,Desktop,North,1.0,1.0,1.0,0,0.0,4.0,93.05981908874051
U00019,S00019,Referral,Desktop,East,1.0,1.0,0.0,0,0.0,3.0,14.535325783164895
U00020,S00020,Paid,Desktop,West,1.0,0.0,0.0,0,0.0,2.0,23.445982587731812
U00021,,Paid,Mobile,North,1.0,1.0,1.0,1,,0.0,29.653856197374473
U00022,S00022,Paid,Tablet,East,1.0,0.0,0.0,0,0.0,2.0,8.307404340280085
U00023,S00023,Social,Desktop,West,1.0,,0.0,0,0.0,3.0,16.88417063310592
U00024,S00024,Referral,Mobile,South,1.0,0.0,0.0,0,0.0,2.0,50.116598337550045
U00025,S00025,Referral,Desktop,North,1.0,1.0,1.0,0,0.0,4.0,27.50005005019155
U00026,S00026,Organic,Desktop,North,,1.0,0.0,0,0.0,3.0,6.7367649957042675
U00027,S00027,Paid,Desktop,East,1.0,1.0,1.0,1,1.0,0.0,9.931344056530198
U00028,S00028,Organic,Tablet,North,1.0,1.0,1.0,1,1.0,0.0,19.888985293741776
U00029,S00029,Organic,Tablet,,1.0,0.0,0.0,0,0.0,2.0,51.34875761853952
U00030,S00030,Social,Mobile,South,1.0,1.0,0.0,0,0.0,3.0,19.601781189651714
U00031,S00031,Social,Tablet,South,1.0,1.0,1.0,0,0.0,,3.587625040840697
U00032,S00032,Referral,Desktop,South,1.0,0.0,0.0,0,0.0,2.0,5.972378850596346
U00033,S00033,Referral,Tablet,,0.0,0.0,0.0,0,0.0,1.0,8.19586501258306
U00034,S00034,Paid,Mobile,West,1.0,0.0,0.0,0,0.0,2.0,18.5650052496599
U00035,S00035,Social,Mobile,East,1.0,0.0,0.0,0,0.0,2.0,28.40944496548872
U00036,S00036,Paid,Mobile,North,1.0,1.0,1.0,0,0.0,4.0,30.63397101325204
U00037,S00037,Referral,Desktop,East,1.0,1.0,1.0,1,1.0,0.0,24.834488675262403
U00038,S00038,Referral,Mobile,North,1.0,1.0,1.0,0,0.0,4.0,14.519250858796799
U00039,S00039,Referral,Tablet,East,1.0,1.0,1.0,0,0.0,4.0,38.7573576814021
U00040,S00040,Organic,Tablet,East,0.0,0.0,0.0,0,0.0,1.0,15.47752052699025
U00041,,Referral,Desktop,North,1.0,1.0,0.0,0,0.0,3.0,31.13721872545452
U00042,S00042,Direct,Tablet,West,1.0,1.0,0.0,0,0.0,3.0,17.77300641004097
U00043,S00043,Direct,Desktop,East,1.0,1.0,0.0,0,0.0,3.0,10.609700955322808
U00044,S00044,Paid,Desktop,North,1.0,,0.0,0,0.0,3.0,31.28358446662945
U00045,S00045,Social,Tablet,East,1.0,1.0,0.0,0,0.0,3.0,62.54943606124504
U00046,S00046,Direct,Tablet,East,1.0,1.0,0.0,0,0.0,3.0,16.360017019955546
U00047,S00047,Referral,Tablet,South,1.0,1.0,1.0,0,0.0,4.0,7.214910683633139
U00048,S00048,Organic,Mobile,North,1.0,0.0,0.0,0,0.0,2.0,27.06477674969547
U00049,S00049,Social,Mobile,South,1.0,1.0,0.0,0,0.0,3.0,8.995054714020268
U00050,S00050,Paid,Mobile,West,,1.0,0.0,0,0.0,3.0,11.146081488970026
