User_ID,Session_ID,Query_Text,Query_Length,Search_Latency_ms,Results_Displayed,Clicked_Result_Rank,Click_Success,Reformulation_Count,Task_Success,Time_to_Completion_s,Dwell_Time_on_Result_ms
U01999,U01999_S2,account settings,2.0,49.81267453092066,50.0,1.0,1.0,0.0,1.0,18.872645460854713,1502.585508228604
U00950,U00950_S2,return policy,2.0,70.92165984152058,50.0,3.0,1.0,0.0,1.0,17.23287818379078,3089.396461608484
U00358,U00358_S2,checkout,1.0,57.31494410167539,20.0,2.0,1.0,0.0,1.0,33.708814331764046,998.2022529542965
U00719,U00719_S2,password reset,2.0,61.62492202560676,,,,1.0,0.0,47.872766395461895,
U00675,U00675_S1,login,1.0,30.584705875748988,50.0,3.0,1.0,0.0,1.0,32.38291384887895,922.2953387085311
U00559,U00559_S1,login,1.0,204.12687331053596,50.0,2.0,1.0,0.0,1.0,25.660458156883916,361.69480800344206
U01489,,support,1.0,39.349380869981864,50.0,1.0,1.0,0.0,1.0,28.309084146331408,781.2571664993719
U00301,U00301_S2,billing,1.0,75.08478239321471,10.0,1.0,1.0,0.0,1.0,80.83423276154555,432.54828806523585
U00006,U00006_S1,return policy,2.0,59.80062307252531,10.0,,0.0,0.0,1.0,12.51746110600571,
U01902,U01902_S1,help,1.0,36.582171374478484,10.0,1.0,1.0,0.0,1.0,59.18232539769718,1448.6699557606994
U01338,U01338_S2,checkout,1.0,27.49187736142444,50.0,2.0,1.0,0.0,1.0,38.13341699710314,1970.338596359175
U01402,U01402_S1,password reset,2.0,94.94020512414063,50.0,3.0,1.0,0.0,,28.359261385036618,
U01186,U01186_S2,support,1.0,,20.0,2.0,1.0,0.0,1.0,8.609277271646059,870.8269432199332
U01739,U01739_S2,return policy,2.0,59.455804841187984,10.0,1.0,1.0,1.0,0.0,48.71464278113708,256.7107460820278
U00368,U00368_S1,account settings,2.0,228.5543060183533,10.0,2.0,1.0,,1.0,14.530083999344386,
U00491,U00491_S2,return policy,2.0,78.21196352104822,20.0,3.0,1.0,0.0,1.0,31.61738362641428,370.2824390462071
U00466,U00466_S1,checkout,1.0,47.72439455070142,50.0,1.0,1.0,0.0,1.0,93.37658953859115,345.0862265547293
U00946,U00946_S2,checkout,1.0,145.16850540829222,10.0,4.0,0.0,1.0,0.0,37.27518967677211,258.34381060086696
U01033,U01033_S1,return policy,2.0,106.32339643815786,20.0,,0.0,,0.0,14.401020259829213,
U00309,U00309_S1,return policy,,81.49852152175205,20.0,,0.0,0.0,1.0,37.1922213766044,
U00941,U00941_S2,product search,2.0,97.66731114577084,20.0,1.0,1.0,0.0,1.0,44.80410532005701,354.89293540302265
U01630,U01630_S1,billing,1.0,35.24952865134899,20.0,4.0,0.0,0.0,0.0,30.222880651757578,489.14342700057233
U01046,U01046_S2,return policy,2.0,42.104771454128205,50.0,1.0,1.0,,1.0,39.40892352348555,656.9915734501039
U01149,U01149_S1,account settings,,41.278638038892346,50.0,1.0,1.0,0.0,1.0,59.7689015137972,395.97373955513643
U00318,U00318_S2,password reset,2.0,49.54797780498491,10.0,4.0,0.0,0.0,0.0,74.0625156987468,424.73493453947015
U00768,U00768_S1,product search,2.0,33.27519526210523,20.0,4.0,0.0,0.0,1.0,30.151349187626355,953.7647005882129
U00150,U00150_S1,billing,,63.664692803661374,10.0,1.0,1.0,2.0,0.0,12.457279177201324,388.6063536412924
U01544,U01544_S2,support,1.0,52.283677355904274,10.0,2.0,1.0,0.0,0.0,36.37929579297054,1417.3473433741103
U00371,U00371_S2,login,1.0,87.03194423741921,10.0,,0.0,0.0,0.0,,
U00782,U00782_S2,login,,47.94252447429629,50.0,1.0,1.0,0.0,1.0,21.235452150164228,182.251770434769
U00914,U00914_S2,help,1.0,44.12322089316455,10.0,,0.0,0.0,1.0,28.96158700087211,
U00102,U00102_S1,support,1.0,14.783609757515158,10.0,3.0,1.0,0.0,1.0,99.18003806267993,2889.417992496675
U01928,U01928_S2,return policy,2.0,32.528046275942444,50.0,,0.0,0.0,1.0,21.806608677277694,
U00884,U00884_S1,return policy,2.0,36.36601370865959,10.0,4.0,0.0,1.0,,15.997172419502775,1091.5408456093928
U00481,U00481_S1,,1.0,49.05966046670987,10.0,1.0,1.0,0.0,1.0,29.415655154624325,277.35585620343545
U00751,U00751_S1,billing,1.0,63.022905756319,50.0,2.0,1.0,0.0,1.0,117.68181407965946,11008.610647518472
U01427,U01427_S1,product search,2.0,34.38451600705934,50.0,3.0,1.0,0.0,,28.458764449324097,1925.641847307766
U00581,U00581_S2,help,1.0,83.82020416796753,50.0,1.0,1.0,0.0,1.0,25.11006690997948,718.3880065840534
U00090,U00090_S2,checkout,1.0,23.952112984834912,20.0,1.0,1.0,0.0,1.0,24.548179035096926,1033.1622943489065
U01868,U01868_S1,login,1.0,64.60413005861231,10.0,1.0,1.0,0.0,0.0,106.32746563385446,1815.50439399861
U00993,U00993_S1,support,1.0,122.19653725926278,10.0,1.0,1.0,1.0,0.0,21.44643243931537,326.6714268926689
U01762,U01762_S2,product search,2.0,91.40954138246222,10.0,,0.0,0.0,1.0,153.91313057176305,
U00945,U00945_S2,account settings,2.0,108.57716588885465,50.0,2.0,1.0,0.0,1.0,25.12631156036503,799.5431241562319
U01250,U01250_S1,help,1.0,43.273197127201584,20.0,3.0,1.0,0.0,1.0,14.535064052372467,532.9819371220775
U01758,U01758_S1,return policy,2.0,39.5122629871941,50.0,4.0,0.0,0.0,1.0,11.253070770891874,528.4900176514482
U01047,U01047_S2,checkout,1.0,61.13068965487516,10.0,2.0,1.0,,1.0,47.90387180053515,1450.059304658045
U01824,U01824_S2,checkout,1.0,80.53861249857464,50.0,,1.0,0.0,1.0,33.98591745970923,79.33819016777328
U01370,U01370_S1,return policy,2.0,56.46852101605014,50.0,5.0,0.0,0.0,1.0,35.95389057072951,872.7282448927417
U00171,U00171_S1,return policy,2.0,63.36278265472582,10.0,1.0,1.0,0.0,1.0,63.79828544295046,1604.4495644572403
U01090,U01090_S2,help,1.0,30.55655639330547,10.0,1.0,1.0,0.0,1.0,37.60424287497855,1232.5949816330221
U01929,U01929_S1,help,1.0,39.3449408325188,10.0,3.0,1.0,2.0,0.0,15.551162317120301,1238.163406848928
,U00290_S1,account settings,2.0,38.181577009067446,50.0,1.0,1.0,0.0,0.0,84.11372250617836,1411.309077959676
U01906,U01906_S1,account settings,2.0,37.75603308284681,20.0,3.0,1.0,0.0,1.0,46.73287220584595,3957.358867577889
U01054,U01054_S1,account settings,2.0,17.88267322996049,20.0,3.0,1.0,0.0,1.0,31.466540724673727,118.26457813059552
U00135,U00135_S1,password reset,2.0,46.64998319075153,10.0,3.0,1.0,0.0,1.0,12.726121626297465,238.15853757014546
U01161,U01161_S2,help,1.0,40.83618948615965,10.0,1.0,1.0,0.0,1.0,47.339388798305094,215.02892116890524
U01600,U01600_S1,return policy,2.0,100.19602709362582,20.0,5.0,0.0,0.0,1.0,38.274770439726865,1101.267846623918
U01350,U01350_S2,return policy,2.0,60.96496718742909,50.0,1.0,1.0,0.0,1.0,51.81811410806284,243.83574445895658
U00085,U00085_S2,account settings,2.0,29.89216694777169,10.0,1.0,1.0,0.0,1.0,61.24495404819935,2846.232145005551
