User_ID,Session_ID,Query_Text,Query_Length,Search_Latency_ms,Results_Displayed,Clicked_Result_Rank,Click_Success,Reformulation_Count,Task_Success,Time_to_Completion_s,Dwell_Time_on_Result_ms
U00354,U00354_S1,password reset,2.0,155.88357464094656,50.0,,0.0,0.0,1.0,14.861562373230665,
U00217,U00217_S1,checkout,1.0,44.830464606509636,20.0,5.0,0.0,0.0,0.0,19.853406004745292,730.7123109733665
U00180,U00180_S2,product search,2.0,20.173200069826258,20.0,1.0,1.0,0.0,0.0,16.628887902948136,3028.3888817598895
U00187,U00187_S1,billing,1.0,56.43764043832692,,3.0,1.0,0.0,1.0,33.820592999145944,872.7628986713567
U00185,U00185_S1,return policy,2.0,79.09241993826662,10.0,1.0,1.0,0.0,0.0,16.70639489868194,1429.3219515628498
U00222,U00222_S1,account settings,2.0,53.96396607228192,50.0,2.0,1.0,0.0,1.0,27.984002823448836,662.4228703582214
U00199,U00199_S2,checkout,1.0,147.74975850278048,20.0,,0.0,0.0,1.0,79.36505698117234,
U00139,U00139_S1,billing,1.0,48.02360113878097,50.0,2.0,1.0,0.0,,31.778172734684283,947.8806769769648
U00032,U00032_S1,product search,2.0,55.891022258850896,50.0,3.0,1.0,0.0,1.0,21.825999186597446,420.1487863047543
U00374,U00374_S1,product search,2.0,36.1590412920362,10.0,,0.0,0.0,1.0,26.181250829894346,
U00256,U00256_S1,login,1.0,19.546524810386906,50.0,2.0,1.0,0.0,1.0,,3883.9694715054407
U00104,U00104_S2,return policy,2.0,42.511950266921986,20.0,2.0,1.0,0.0,1.0,62.24176367902288,3333.8796620277994
U00067,,return policy,2.0,43.69869806452657,50.0,3.0,1.0,0.0,1.0,111.7895202283119,2311.686097688155
U00011,U00011_S1,checkout,1.0,21.717957931958342,10.0,,0.0,0.0,1.0,29.787568899524516,795.7430007208729
U00127,U00127_S2,product search,2.0,99.42231291323232,50.0,1.0,1.0,0.0,1.0,55.04637434178405,769.9052964838432
U00069,U00069_S1,login,1.0,,20.0,1.0,1.0,0.0,0.0,63.4092013950971,272.1661640204298
U00342,U00342_S2,help,1.0,72.95490748439849,20.0,3.0,1.0,0.0,1.0,69.8891994557297,6059.98910659695
U00186,U00186_S1,login,1.0,64.51711825903992,10.0,1.0,1.0,0.0,1.0,43.035030805927754,229.83763676760043
U00144,U00144_S2,login,1.0,49.65542869608298,20.0,,0.0,0.0,1.0,32.67531334046048,
U00205,U00205_S1,password reset,2.0,91.4198600382008,20.0,1.0,1.0,0.0,1.0,40.74077783614793,941.8310922346226
,U00034_S2,password reset,2.0,103.71922959467847,10.0,2.0,1.0,0.0,1.0,27.87614671861666,220.7502768710415
U00132,U00132_S2,password reset,2.0,97.21585413395232,50.0,4.0,0.0,0.0,1.0,30.575239079802415,2777.3901170300983
U00235,,password reset,2.0,75.3102806592269,50.0,1.0,1.0,0.0,1.0,25.429670441347,1459.510981144707
U00054,U00054_S2,checkout,1.0,65.25067119965708,10.0,2.0,1.0,0.0,1.0,,857.0266480476853
U00014,U00014_S2,support,1.0,102.62458844236049,50.0,3.0,1.0,0.0,0.0,69.29833474528856,1276.7988593336675
,U00389_S2,login,1.0,56.24053307435071,50.0,3.0,1.0,0.0,1.0,69.18495578135585,308.98362561613965
U00272,U00272_S1,product search,2.0,47.178097354382736,20.0,,1.0,0.0,0.0,20.157528716007647,866.5017950481291
U00238,U00238_S1,checkout,1.0,48.06079175879635,50.0,1.0,1.0,1.0,0.0,15.97137351875829,1262.6753483190134
U00057,U00057_S2,support,1.0,73.44908465011102,50.0,,0.0,0.0,1.0,95.00407840693957,
U00310,U00310_S2,password reset,,60.225109424025696,10.0,3.0,1.0,0.0,1.0,30.74505613261061,434.8557629060869
U00196,U00196_S1,account settings,2.0,,50.0,3.0,1.0,0.0,1.0,57.465399171891356,1688.6581181622028
U00316,U00316_S1,help,1.0,32.84857493902465,10.0,3.0,1.0,0.0,1.0,26.718343451821386,303.16241246430457
U00392,U00392_S1,billing,1.0,39.298292335280706,20.0,2.0,1.0,1.0,0.0,17.7380937782029,5778.5650769365075
U00202,U00202_S2,password reset,2.0,148.7805780182725,20.0,1.0,1.0,0.0,0.0,53.61543965234299,1722.9993477265473
U00275,U00275_S1,return policy,2.0,51.90395474439064,20.0,1.0,1.0,0.0,0.0,82.03818633721008,5122.903981701364
U00092,U00092_S2,support,1.0,98.07631321916905,20.0,5.0,0.0,0.0,1.0,26.06520573484857,513.8660052373284
U00085,U00085_S2,login,1.0,38.59456853552874,10.0,1.0,1.0,0.0,1.0,72.00254694814595,2783.9912260192154
U00019,U00019_S1,password reset,2.0,56.8347352001929,10.0,,1.0,0.0,1.0,94.46231550939265,1224.3861253383027
U00191,U00191_S2,checkout,1.0,63.46840955661943,20.0,1.0,1.0,0.0,1.0,63.976728764966,122.86833292058506
U00196,U00196_S2,account settings,2.0,39.42147407589826,10.0,2.0,1.0,0.0,1.0,65.15405476145267,989.752164896087
U00150,U00150_S2,help,1.0,22.810429214938196,10.0,,0.0,0.0,1.0,24.47479620746571,
U00320,U00320_S1,checkout,1.0,182.28910450804392,20.0,2.0,1.0,0.0,1.0,28.48454880513054,215.71542894258047
U00360,U00360_S2,billing,1.0,,10.0,1.0,1.0,0.0,1.0,15.492254951380533,809.5242036699194
U00085,U00085_S2,support,1.0,63.218123376562836,50.0,,0.0,0.0,1.0,35.02125938802742,
U00307,U00307_S2,product search,2.0,26.176723988913334,10.0,2.0,1.0,0.0,1.0,18.283585833344304,751.787169313676
U00346,U00346_S2,support,1.0,55.32285517974188,20.0,1.0,1.0,0.0,0.0,45.69930165387572,616.9858370579791
U00224,U00224_S1,product search,2.0,22.29351712061917,20.0,1.0,1.0,0.0,1.0,47.237340533549535,1306.8886684590695
U00364,U00364_S1,product search,2.0,31.180828639578024,10.0,4.0,0.0,0.0,1.0,26.334768877312104,1638.504585837456
U00132,U00132_S2,return policy,2.0,28.494790306014366,20.0,1.0,1.0,0.0,0.0,45.665286700764725,272.73789300221375
U00338,,login,1.0,51.5120498733115,10.0,1.0,1.0,0.0,1.0,27.50884256781983,858.0161047185588
U00288,U00288_S2,billing,1.0,148.65940466886548,10.0,,0.0,0.0,1.0,19.40447636685523,
U00369,U00369_S2,help,1.0,,10.0,1.0,1.0,0.0,1.0,35.22609280419167,1986.2971964280032
U00186,U00186_S2,help,1.0,67.54147508534882,10.0,4.0,0.0,0.0,1.0,,1022.4352184967956
U00230,U00230_S2,help,1.0,50.446468352083954,50.0,,0.0,0.0,1.0,34.49059226725294,
U00362,U00362_S2,checkout,1.0,73.14384609811668,20.0,1.0,1.0,1.0,0.0,63.434822169006715,
U00224,U00224_S1,password reset,2.0,72.92032939757556,20.0,2.0,1.0,0.0,1.0,39.303003644439706,1597.4244691029505
U00312,U00312_S1,return policy,2.0,29.415158793200465,20.0,2.0,1.0,0.0,1.0,40.41706932349301,
U00040,U00040_S1,login,1.0,49.87231883916006,50.0,1.0,1.0,2.0,0.0,41.22151263173272,195.7840964217153
U00372,U00372_S2,support,1.0,35.11345384572581,10.0,,0.0,0.0,1.0,50.45111906758571,
U00192,U00192_S1,,1.0,46.744859180435995,50.0,2.0,1.0,,1.0,31.37939711470926,1236.9478986265408
U00269,U00269_S1,account settings,2.0,52.604464511408075,20.0,5.0,0.0,0.0,1.0,,3503.8327720613947
U00367,U00367_S2,support,1.0,76.54619615269051,10.0,1.0,1.0,0.0,0.0,29.947917316338224,872.752898056632
U00357,U00357_S1,billing,1.0,28.7716639317446,,1.0,1.0,0.0,0.0,16.789340439065906,732.6321472412028
U00199,U00199_S2,billing,1.0,40.926994042977725,20.0,1.0,1.0,0.0,0.0,55.629957651168866,389.06891070431163
U00239,U00239_S1,support,1.0,72.3903657803019,20.0,1.0,1.0,0.0,1.0,23.662113967870784,2694.5513601522457
U00200,U00200_S1,support,1.0,57.94042588549596,50.0,4.0,0.0,0.0,1.0,71.61510824165686,332.52342526850487
U00341,U00341_S2,return policy,2.0,54.47431514689987,10.0,1.0,1.0,1.0,0.0,35.969142730081394,476.8141502529684
U00118,U00118_S2,checkout,1.0,88.89813480669879,10.0,2.0,1.0,,,55.48850514135554,371.9523279790801
U00279,U00279_S1,account settings,2.0,73.21350808892511,50.0,1.0,1.0,1.0,0.0,7.042484430456909,781.0379623440833
U00037,U00037_S1,checkout,,40.48138321616086,50.0,3.0,1.0,0.0,1.0,104.46338149862466,264.95728975035246
U00248,U00248_S1,account settings,2.0,99.9691571767133,10.0,4.0,0.0,0.0,1.0,26.893759089380428,4941.608064679698
U00220,U00220_S2,support,1.0,108.80275276397377,20.0,1.0,1.0,0.0,1.0,21.892857010964615,292.00202117837824
U00387,U00387_S1,login,1.0,86.24156226685913,50.0,3.0,1.0,0.0,1.0,20.13214996437355,670.5158840900433
U00208,U00208_S1,checkout,1.0,,50.0,2.0,1.0,0.0,,56.67957288176769,2283.264870571236
U00239,U00239_S2,account settings,2.0,100.55142660538485,10.0,2.0,1.0,2.0,0.0,45.61328435160533,533.4888507081233
U00325,U00325_S1,product search,2.0,80.72283729310436,50.0,1.0,1.0,0.0,1.0,28.66896439376698,1668.3217804035742
U00205,U00205_S2,password reset,2.0,50.489547203479134,10.0,1.0,1.0,0.0,1.0,18.872361570632805,559.6731823255438
U00208,U00208_S1,login,1.0,72.4025794469309,50.0,1.0,1.0,0.0,1.0,36.629623528636095,248.68994891939747
U00014,U00014_S2,help,1.0,54.487867323344965,20.0,1.0,1.0,0.0,1.0,119.13307388282674,1338.7174532953043
