User_ID,Session_ID,Query_Text,Query_Length,Search_Latency_ms,Results_Displayed,Clicked_Result_Rank,Click_Success,Reformulation_Count,Task_Success,Time_to_Completion_s,Dwell_Time_on_Result_ms
U00058,U00058_S2,login,1.0,102.0433335102745,50.0,,0.0,0.0,1.0,,
U00038,U00038_S1,,1.0,46.7860385896228,50.0,2.0,1.0,0.0,1.0,41.15888113043342,627.4436604750007
U00040,U00040_S1,return policy,2.0,51.65563143769197,20.0,3.0,1.0,0.0,0.0,,5764.013695770896
U00095,,support,,98.57732637695332,20.0,1.0,1.0,0.0,1.0,48.90513426495964,213.36536629695408
U00058,U00058_S1,account settings,2.0,106.06288939855169,20.0,5.0,0.0,0.0,1.0,59.06561755460174,351.04582591377516
U00021,U00021_S2,help,1.0,35.0347723973897,10.0,5.0,0.0,0.0,1.0,113.55062379523201,2507.6775683028063
U00030,U00030_S2,return policy,2.0,22.437272187881796,20.0,1.0,1.0,0.0,1.0,23.197477384448746,570.0659802580867
U00067,U00067_S1,,2.0,70.92169893627263,20.0,1.0,1.0,0.0,1.0,,156.98146544348285
U00076,,billing,1.0,65.71713144313581,10.0,,1.0,,1.0,27.444050660995075,1843.995603970145
U00097,U00097_S1,billing,1.0,31.34995131534879,20.0,3.0,1.0,0.0,1.0,35.613647357724275,1467.4542490885544
U00047,U00047_S2,login,1.0,29.022335081873518,10.0,1.0,1.0,0.0,1.0,15.062837280375831,1128.7475222161227
U00019,U00019_S2,return policy,2.0,51.261618200659996,50.0,2.0,1.0,0.0,1.0,26.53987399034567,663.0798034008395
U00049,U00049_S2,product search,2.0,76.96947612159462,,4.0,0.0,0.0,1.0,16.167646194296292,1596.2296641687126
U00023,U00023_S1,product search,2.0,65.80551399163618,50.0,1.0,1.0,0.0,1.0,26.003030615008107,3598.5073906964735
U00027,U00027_S2,return policy,,65.14674666118044,20.0,3.0,1.0,0.0,1.0,18.346779000235014,2885.0488469816646
U00082,U00082_S1,help,1.0,92.50164368874887,50.0,,0.0,2.0,0.0,32.428025132313756,
U00070,U00070_S2,help,1.0,35.02205967637047,50.0,3.0,1.0,,1.0,28.75034531787111,1172.6418674620465
U00055,U00055_S1,help,1.0,33.19147733253855,10.0,2.0,1.0,0.0,1.0,64.50680331834255,1065.3394544507407
U00090,U00090_S2,password reset,2.0,42.236053719795144,50.0,,0.0,0.0,1.0,51.333063178827615,
