User_ID,Session_ID,Turn_Number,User_Message_Text,Bot_Response_Text,Intent_Label,Intent_Confidence,Response_Latency_ms,Resolution_Success,User_Sentiment_Score,Escalated_to_Human,Task_Type,End_of_Session
U00843,U00843_S1,1.0,Sample user message for return,Bot response for return,return,0.7547986074792743,170.38734925032279,1.0,1.314463259940714,0.0,Transactional,0.0
,U01194_S1,2.0,Sample user message for order_status,Bot response for order_status,order_status,0.78185381958011,446.0415204889783,1.0,-1.5785182024565203,0.0,Informational,0.0
U01092,U01092_S1,3.0,Sample user message for billing,Bot response for billing,billing,0.8832110537050699,393.51771074336295,1.0,-1.6218403290173202,0.0,Support,
U00942,U00942_S1,4.0,Sample user message for general_info,Bot response for general_info,general_info,0.7031586144576832,153.501384464241,1.0,-0.11632801186938717,0.0,Informational,0.0
U01197,U01197_S1,5.0,Sample user message for general_info,Bot response for general_info,general_info,0.7806549383004382,131.91436225885985,1.0,0.8416651067595273,0.0,,0.0
U00604,U00604_S1,6.0,Sample user message for order_status,Bot response for order_status,order_status,0.5915538738578608,346.79733439237555,0.0,-0.8183151652995332,0.0,Support,0.0
U00804,U00804_S1,7.0,,Bot response for billing,billing,0.8040528391891201,1034.0107660612223,0.0,0.7403116352771295,0.0,Informational,0.0
U00653,U00653_S1,8.0,Sample user message for billing,Bot response for billing,billing,0.8585167623767658,513.8458858803208,1.0,0.295849509119297,0.0,Support,1.0
U00940,U00940_S1,1.0,Sample user message for order_status,Bot response for order_status,order_status,0.877297375533315,1052.8383793935445,1.0,0.9702430521606029,0.0,Support,0.0
U00923,U00923_S1,2.0,Sample user message for technical_support,Bot response for technical_support,technical_support,0.7806276052110364,1871.6983779563109,0.0,-0.05034283699777889,0.0,,0.0
U00618,U00618_S1,3.0,Sample user message for general_info,Bot response for general_info,general_info,0.847681929234041,587.6100996819148,1.0,-1.4363844758758864,0.0,Transactional,0.0
U01187,U01187_S1,4.0,Sample user message for general_info,Bot response for general_info,general_info,0.6517562225279295,373.76523804268663,1.0,1.4959252464608497,0.0,Informational,0.0
U00698,,5.0,Sample user message for billing,Bot response for billing,billing,0.6800981624557291,1323.7183361920174,0.0,0.6657256830480119,0.0,Transactional,0.0
U00255,U00255_S1,6.0,Sample user message for general_info,Bot response for general_info,general_info,0.8445453037800809,393.13540646722197,1.0,-1.356720733015298,0.0,Informational,0.0
U00895,U00895_S1,7.0,Sample user message for billing,Bot response for billing,billing,0.8035164081682495,159.7267053041382,1.0,1.5924665272575453,0.0,Informational,0.0
U00820,U00820_S1,8.0,Sample user message for technical_support,Bot response for technical_support,technical_support,0.4268579910644125,238.90980279040315,1.0,-1.9539443956472957,0.0,Support,1.0
