User_ID,Session_ID,Turn_Number,User_Message_Text,Bot_Response_Text,Intent_Label,Intent_Confidence,Response_Latency_ms,Resolution_Success,User_Sentiment_Score,Escalated_to_Human,Task_Type,End_of_Session
U00162,U00162_S1,1.0,Sample user message for order_status,Bot response for order_status,order_status,0.7628668507280969,221.50348418832917,1.0,0.650756512241137,0.0,Transactional,0.0
U00077,U00077_S1,2.0,Sample user message for order_status,Bot response for order_status,order_status,0.8020582720465399,466.12390405042544,1.0,-0.7276962408721918,0.0,Transactional,0.0
U00201,U00201_S1,3.0,Sample user message for billing,Bot response for billing,billing,0.452112873057474,3421.36731438898,0.0,-2.898672906877241,0.0,Support,0.0
U00243,U00243_S1,4.0,Sample user message for general_info,Bot response for general_info,general_info,0.6693971017761408,161.3960007800765,1.0,,0.0,Transactional,0.0
U00093,U00093_S1,5.0,Sample user message for return,Bot response for return,return,0.6285299011113815,222.12385995573229,,-0.5772707093895145,0.0,Support,0.0
U00105,U00105_S1,6.0,Sample user message for return,Bot response for return,return,0.7535475118260784,501.01584062628183,1.0,-0.7874978009692172,0.0,Informational,0.0
U00114,U00114_S1,7.0,Sample user message for billing,Bot response for billing,billing,0.5566854940602156,145.1831723568957,1.0,-0.3551713663417455,0.0,Informational,0.0
U00107,U00107_S1,8.0,Sample user message for billing,Bot response for billing,billing,0.9478354144754465,254.99538001541282,0.0,0.09007900801821869,0.0,Support,
U00115,U00115_S1,1.0,Sample user message for technical_support,Bot response for technical_support,technical_support,0.8775920399741906,279.9347878746597,1.0,-0.1298723059147736,0.0,Informational,0.0
U00053,U00053_S1,2.0,Sample user message for return,Bot response for return,return,0.8209454477853227,143.9932728051503,1.0,2.3407498551929358,0.0,Transactional,0.0
U00197,U00197_S1,3.0,Sample user message for technical_support,Bot response for technical_support,technical_support,,80.33819667857277,1.0,1.0194438724811932,0.0,Informational,0.0
U00097,U00097_S1,4.0,Sample user message for technical_support,Bot response for technical_support,technical_support,0.7652188055261961,274.04362626024863,,-0.6170220807024454,0.0,Informational,0.0
U00020,U00020_S1,5.0,Sample user message for return,Bot response for return,return,0.7393870802670857,237.48367491096178,1.0,-0.17426390068677738,0.0,Support,0.0
U00143,U00143_S1,6.0,Sample user message for order_status,Bot response for order_status,order_status,0.9015842953560133,345.24785267741663,0.0,-0.24870042875370815,0.0,Transactional,0.0
U00068,U00068_S1,7.0,Sample user message for general_info,Bot response for general_info,general_info,0.9124898235192546,341.69433819751106,1.0,0.78884801444878,0.0,Support,0.0
U00194,U00194_S1,8.0,Sample user message for return,Bot response for return,,0.7130344378494009,280.71785478081944,1.0,0.5472540184291715,0.0,Informational,1.0
