Participant_ID,Disability_Type,Assistive_Tech,Task_Name,Task_Success,Completion_Time_s,Error_Count,Error_Type,Keyboard_Presses,Cognitive_Load_Score,Satisfaction_Score,WCAG_Issue_Count
P0001,Motor,Voice_Control,Form_Submit,1.0,21.303022911508027,0.0,None,15.0,4.0,7.0,4.0
P0002,Cognitive,None,Search,1.0,46.177157808627186,3.0,Compatibility,15.0,4.0,6.0,3.0
P0003,Visual,Magnifier,Form_Submit,0.0,66.71342164418516,4.0,Compatibility,25.0,5.0,6.0,2.0
P0004,Cognitive,None,Form_Submit,1.0,40.112448040301445,3.0,Focus,17.0,4.0,7.0,4.0
P0005,Hearing,None,Navigation,1.0,258.3978447577475,2.0,Focus,18.0,4.0,5.0,4.0
P0006,Hearing,None,Search,1.0,156.28355136797694,4.0,Labeling,16.0,4.0,5.0,1.0
P0007,Visual,Screen_Reader,Checkout,0.0,230.40144347670554,0.0,None,29.0,4.0,5.0,1.0
P0008,Hearing,None,Search,1.0,42.641510698787485,0.0,None,18.0,5.0,5.0,2.0
P0009,Visual,Magnifier,,1.0,210.30762879616606,0.0,,14.0,3.0,5.0,
P0010,Cognitive,None,Checkout,1.0,54.22280160951202,3.0,Labeling,,4.0,7.0,0.0
P0011,Cognitive,None,Checkout,1.0,24.112180474272453,2.0,Compatibility,8.0,4.0,4.0,2.0
,Hearing,None,Checkout,0.0,66.94572552380147,4.0,Navigation,23.0,2.0,7.0,2.0
P0013,Cognitive,None,Form_Submit,1.0,108.33868439467031,0.0,None,13.0,3.0,6.0,2.0
P0014,Hearing,None,Navigation,1.0,270.448367202825,2.0,Navigation,18.0,4.0,6.0,1.0
P0015,Hearing,None,Search,1.0,164.08036385029467,0.0,None,17.0,5.0,6.0,1.0
P0016,Visual,Screen_Reader,Search,,90.04996685644217,2.0,,,4.0,5.0,3.0
P0017,Visual,Screen_Reader,Checkout,0.0,144.4370515432783,3.0,Labeling,26.0,2.0,5.0,2.0
P0018,Visual,Magnifier,Checkout,0.0,90.93572730215793,3.0,Focus,29.0,3.0,6.0,3.0
P0019,Cognitive,None,Checkout,1.0,167.5345210835458,2.0,Navigation,11.0,3.0,6.0,1.0
P0020,Cognitive,None,Form_Submit,1.0,75.03231249725255,2.0,Navigation,11.0,3.0,5.0,1.0
P0021,Visual,Magnifier,Checkout,1.0,105.20263452147447,0.0,None,19.0,3.0,4.0,2.0
P0022,Visual,Magnifier,Checkout,1.0,101.04488999509691,1.0,Labeling,17.0,3.0,7.0,2.0
,Motor,Voice_Control,Navigation,0.0,58.05482824121316,1.0,Focus,,3.0,6.0,2.0
P0024,Hearing,None,Navigation,1.0,51.31061937160267,0.0,None,14.0,2.0,7.0,3.0
P0025,Visual,Magnifier,Checkout,1.0,388.45553506559986,0.0,None,16.0,4.0,7.0,3.0
P0026,Hearing,None,Search,0.0,171.46098073587376,1.0,Navigation,25.0,4.0,6.0,3.0
P0027,Cognitive,,Form_Submit,1.0,74.08075360513217,0.0,None,,3.0,6.0,2.0
P0028,Cognitive,None,Checkout,1.0,51.90457638380987,4.0,Focus,15.0,2.0,5.0,0.0
P0029,Cognitive,None,Form_Submit,0.0,237.97628865407148,1.0,Compatibility,20.0,5.0,7.0,1.0
P0030,Motor,Voice_Control,Form_Submit,0.0,92.51021697881856,2.0,Navigation,20.0,3.0,5.0,0.0
P0031,Visual,,Navigation,0.0,76.07027830382701,0.0,None,26.0,5.0,6.0,1.0
P0032,Visual,Screen_Reader,Checkout,1.0,69.29984908714486,1.0,Labeling,21.0,1.0,6.0,2.0
P0033,Motor,Voice_Control,Navigation,0.0,47.199224485932035,0.0,None,28.0,3.0,5.0,1.0
P0034,Motor,Voice_Control,Search,1.0,77.55178907188748,0.0,None,11.0,5.0,7.0,2.0
P0035,Cognitive,None,Search,0.0,28.24477973516079,1.0,Focus,21.0,3.0,6.0,2.0
P0036,,Magnifier,,1.0,311.54315048944784,4.0,Focus,10.0,4.0,5.0,2.0
P0037,Visual,Screen_Reader,Form_Submit,1.0,9.531950194964432,3.0,Labeling,11.0,5.0,7.0,2.0
P0038,Cognitive,None,Search,1.0,574.0594032273438,0.0,None,14.0,4.0,5.0,1.0
P0039,Visual,Screen_Reader,Search,1.0,85.6827163436828,1.0,Focus,14.0,3.0,5.0,3.0
P0040,Motor,Voice_Control,Search,1.0,,1.0,Focus,14.0,4.0,6.0,1.0
P0041,Hearing,None,Search,1.0,118.46498421351757,3.0,Compatibility,10.0,4.0,6.0,4.0
P0042,Visual,Screen_Reader,Checkout,0.0,62.445954136379754,1.0,Compatibility,22.0,4.0,4.0,3.0
P0043,Hearing,None,Search,1.0,89.3784141034259,2.0,Focus,9.0,4.0,6.0,1.0
P0044,Motor,Keyboard_Only,Navigation,1.0,17.73146922923773,2.0,Focus,21.0,1.0,6.0,4.0
P0045,Motor,Keyboard_Only,Search,1.0,72.64917705632313,0.0,None,16.0,5.0,6.0,6.0
P0046,Motor,Voice_Control,Checkout,1.0,166.23510882494682,1.0,,24.0,2.0,5.0,2.0
P0047,Cognitive,None,Checkout,0.0,33.10836662040504,2.0,Focus,20.0,5.0,6.0,2.0
P0048,Hearing,None,Navigation,0.0,69.46502266273724,2.0,Navigation,27.0,1.0,6.0,3.0
P0049,Hearing,None,Checkout,1.0,37.954069042778634,1.0,Focus,16.0,5.0,6.0,0.0
P0050,Hearing,None,Checkout,1.0,173.39612159911323,0.0,None,14.0,5.0,5.0,1.0
P0051,Cognitive,None,Navigation,1.0,67.13947763960013,0.0,None,14.0,4.0,6.0,2.0
P0052,Hearing,None,Form_Submit,1.0,175.99689384498032,3.0,Focus,18.0,3.0,4.0,4.0
P0053,Cognitive,None,Checkout,1.0,51.26885305605085,0.0,None,14.0,2.0,6.0,2.0
P0054,Motor,Keyboard_Only,Search,1.0,89.34448720833059,4.0,Labeling,18.0,5.0,5.0,3.0
P0055,Cognitive,None,Search,1.0,205.60600074922007,3.0,Labeling,3.0,5.0,4.0,1.0
P0056,Cognitive,None,Checkout,1.0,410.05278224606434,2.0,Compatibility,13.0,3.0,5.0,2.0
P0057,Motor,Keyboard_Only,Form_Submit,0.0,54.44329947415375,2.0,Compatibility,20.0,4.0,6.0,
P0058,Cognitive,None,,1.0,120.96383902631851,3.0,Focus,17.0,4.0,5.0,2.0
P0059,Motor,Keyboard_Only,Checkout,0.0,101.26161069178158,3.0,,24.0,3.0,6.0,2.0
P0060,Visual,Magnifier,Navigation,0.0,55.8415090219547,7.0,Labeling,27.0,3.0,6.0,0.0
P0061,Visual,Screen_Reader,Navigation,0.0,98.8851582238598,3.0,Navigation,24.0,2.0,5.0,0.0
P0062,Hearing,None,Form_Submit,1.0,97.08781585452144,2.0,Labeling,23.0,4.0,6.0,3.0
P0063,Motor,Voice_Control,Checkout,1.0,118.76857884383386,4.0,Navigation,12.0,3.0,,2.0
P0064,Motor,,Form_Submit,0.0,103.33084975727448,1.0,Compatibility,42.0,5.0,6.0,2.0
P0065,Visual,Magnifier,Navigation,0.0,23.28946116243093,3.0,Labeling,27.0,1.0,7.0,3.0
P0066,Hearing,None,Checkout,1.0,67.09228965491866,0.0,None,12.0,3.0,4.0,4.0
P0067,Visual,Screen_Reader,Search,1.0,46.74247741295713,3.0,Navigation,16.0,4.0,7.0,1.0
P0068,Visual,Magnifier,Form_Submit,1.0,47.230749209555405,1.0,Compatibility,11.0,4.0,6.0,2.0
P0069,Hearing,None,Checkout,,61.643779600523175,4.0,Compatibility,12.0,2.0,6.0,0.0
P0070,Motor,,Checkout,1.0,31.959072330872072,0.0,None,21.0,4.0,7.0,2.0
P0071,Hearing,None,Checkout,1.0,342.6588113840528,0.0,None,10.0,2.0,6.0,0.0
,Motor,Keyboard_Only,Checkout,0.0,90.08077128370894,0.0,None,28.0,4.0,4.0,1.0
P0073,Hearing,None,Checkout,1.0,321.48310894726524,2.0,Navigation,16.0,4.0,7.0,0.0
P0074,Motor,Voice_Control,Form_Submit,1.0,18.37851603510708,0.0,None,17.0,3.0,6.0,0.0
P0075,Cognitive,None,Checkout,1.0,89.16892571753593,0.0,None,13.0,3.0,5.0,1.0
P0076,Hearing,None,Navigation,1.0,83.25665458014636,0.0,None,17.0,5.0,5.0,5.0
P0077,Motor,Voice_Control,Search,0.0,9.427490620876164,1.0,Navigation,25.0,5.0,5.0,3.0
P0078,Cognitive,None,Navigation,1.0,,4.0,Compatibility,22.0,4.0,5.0,4.0
P0079,Hearing,None,Checkout,1.0,43.90055150232203,0.0,None,9.0,4.0,6.0,2.0
P0080,Motor,Voice_Control,Navigation,1.0,233.95397232653698,1.0,Navigation,16.0,5.0,5.0,1.0
P0081,Cognitive,None,Form_Submit,1.0,181.38647496254262,1.0,Compatibility,16.0,4.0,5.0,3.0
P0082,Hearing,None,Form_Submit,1.0,78.54078477153561,5.0,Labeling,21.0,4.0,5.0,1.0
P0083,Cognitive,None,Form_Submit,0.0,129.0503499296274,0.0,None,29.0,4.0,6.0,0.0
P0084,Visual,,Search,1.0,51.29229896975783,0.0,None,11.0,3.0,4.0,4.0
