Participant_ID,Disability_Type,Assistive_Tech,Task_Name,Task_Success,Completion_Time_s,Error_Count,Error_Type,Keyboard_Presses,Cognitive_Load_Score,Satisfaction_Score,WCAG_Issue_Count
P0001,Hearing,None,Checkout,1.0,69.16085944101718,3.0,Compatibility,,5.0,5.0,2.0
P0002,Cognitive,None,Form_Submit,1.0,25.35954886848133,0.0,None,14.0,5.0,5.0,1.0
P0003,Visual,Screen_Reader,Search,0.0,14.228046551827436,1.0,Labeling,27.0,3.0,6.0,3.0
P0004,Hearing,,Navigation,1.0,56.562104321341195,0.0,None,16.0,2.0,7.0,1.0
P0005,Cognitive,None,Search,0.0,136.8932866765595,0.0,None,21.0,4.0,5.0,1.0
P0006,,None,Search,,72.39422137659075,0.0,None,23.0,3.0,6.0,3.0
P0007,Visual,Magnifier,Form_Submit,0.0,61.2589300086267,0.0,None,32.0,1.0,4.0,1.0
P0008,Visual,Screen_Reader,Form_Submit,1.0,127.37397828460333,0.0,None,14.0,1.0,6.0,1.0
P0009,Hearing,None,Checkout,1.0,86.74560197749962,2.0,Focus,16.0,3.0,5.0,
P0010,Motor,Keyboard_Only,Navigation,1.0,93.89550143064457,0.0,None,18.0,2.0,6.0,0.0
P0011,Hearing,None,Search,1.0,206.87562497158962,0.0,None,9.0,3.0,5.0,2.0
P0012,Cognitive,None,,1.0,122.03115984447244,3.0,Focus,11.0,4.0,5.0,2.0
P0013,Motor,Voice_Control,Search,1.0,140.1127120078434,2.0,Compatibility,22.0,3.0,7.0,3.0
P0014,Visual,Screen_Reader,Checkout,,57.56943075134757,1.0,Labeling,17.0,5.0,5.0,1.0
P0015,Hearing,None,Form_Submit,0.0,83.16039352607217,0.0,None,25.0,4.0,7.0,2.0
P0016,Hearing,None,Form_Submit,,250.71092037665488,3.0,Focus,27.0,2.0,7.0,1.0
P0017,Cognitive,None,Navigation,1.0,308.69721332962433,0.0,None,19.0,5.0,7.0,4.0
P0018,Hearing,None,Form_Submit,1.0,48.62994085573939,1.0,Labeling,15.0,4.0,6.0,0.0
P0019,Visual,Magnifier,Navigation,1.0,68.02699913955752,4.0,Compatibility,16.0,3.0,5.0,2.0
P0020,Hearing,None,Checkout,1.0,93.4056745230001,0.0,None,12.0,3.0,5.0,1.0
P0021,Hearing,None,Search,1.0,221.95067245828483,3.0,Compatibility,12.0,1.0,5.0,0.0
P0022,Hearing,None,Navigation,1.0,58.15576254802944,1.0,Compatibility,15.0,3.0,5.0,3.0
P0023,Visual,Screen_Reader,Navigation,1.0,61.90183837678836,2.0,Labeling,12.0,3.0,7.0,5.0
P0024,Visual,Screen_Reader,Checkout,0.0,123.17624731347637,3.0,Focus,30.0,3.0,,3.0
P0025,Hearing,None,Checkout,0.0,18.49393772954138,3.0,Labeling,29.0,4.0,6.0,1.0
P0026,Cognitive,None,Navigation,0.0,57.93514401803388,1.0,Labeling,27.0,4.0,5.0,4.0
P0027,,None,Navigation,0.0,42.704356483852344,1.0,Labeling,27.0,5.0,6.0,0.0
P0028,Cognitive,None,Checkout,1.0,42.753844561601696,2.0,Labeling,14.0,3.0,6.0,1.0
P0029,Motor,Keyboard_Only,Form_Submit,1.0,64.16910351662465,6.0,Labeling,16.0,3.0,7.0,2.0
P0030,Motor,Voice_Control,Checkout,1.0,460.34188821586383,1.0,Compatibility,20.0,2.0,6.0,2.0
P0031,Hearing,None,Navigation,1.0,16.197405709625205,3.0,Labeling,19.0,4.0,6.0,1.0
P0032,Cognitive,None,Navigation,,187.41700908461382,0.0,None,12.0,4.0,7.0,1.0
P0033,Cognitive,None,Form_Submit,1.0,76.86500028566493,0.0,None,20.0,4.0,5.0,1.0
P0034,Cognitive,None,Navigation,1.0,48.17589715454341,1.0,Compatibility,14.0,3.0,4.0,1.0
P0035,Cognitive,None,Checkout,0.0,89.35026542848247,0.0,None,20.0,4.0,4.0,0.0
P0036,Visual,Magnifier,Search,1.0,43.59333672903438,0.0,None,21.0,,6.0,1.0
P0037,Motor,Keyboard_Only,Navigation,1.0,31.85850499064339,2.0,Focus,19.0,1.0,5.0,5.0
P0038,Cognitive,None,Form_Submit,1.0,53.143983930754864,0.0,None,14.0,3.0,6.0,2.0
P0039,Visual,Screen_Reader,Navigation,1.0,121.54260392127856,1.0,Compatibility,16.0,3.0,4.0,0.0
P0040,Visual,Screen_Reader,Search,0.0,36.65496787465355,4.0,Focus,19.0,,4.0,1.0
P0041,Hearing,None,Checkout,0.0,170.95898671779366,0.0,None,32.0,4.0,4.0,5.0
P0042,Motor,Voice_Control,Navigation,1.0,32.66547747293893,3.0,Labeling,16.0,3.0,5.0,3.0
P0043,Hearing,None,Navigation,1.0,105.65301666543618,1.0,Compatibility,18.0,5.0,7.0,0.0
P0044,Cognitive,,Checkout,1.0,132.82800608240683,1.0,Focus,17.0,2.0,5.0,0.0
P0045,Cognitive,None,Checkout,1.0,152.50786280735187,4.0,Focus,10.0,4.0,7.0,2.0
P0046,Hearing,None,Search,1.0,161.42104929764824,1.0,Compatibility,19.0,4.0,6.0,0.0
P0047,Hearing,None,Checkout,1.0,200.275319183726,1.0,Compatibility,18.0,1.0,5.0,
P0048,Visual,Screen_Reader,Checkout,1.0,,1.0,Compatibility,17.0,4.0,7.0,0.0
P0049,Visual,Magnifier,Checkout,1.0,131.50528088112338,0.0,None,16.0,1.0,4.0,1.0
P0050,Visual,Magnifier,Search,0.0,68.16795257686788,3.0,Compatibility,27.0,3.0,4.0,0.0
P0051,Motor,Voice_Control,Navigation,1.0,30.81389143065514,0.0,None,20.0,4.0,5.0,2.0
P0052,Motor,Keyboard_Only,Navigation,0.0,118.51408438338169,0.0,None,33.0,5.0,5.0,5.0
P0053,Cognitive,None,Search,0.0,18.543838211338823,2.0,Compatibility,22.0,1.0,4.0,2.0
P0054,Motor,,Form_Submit,1.0,276.8403479707496,,Navigation,11.0,4.0,6.0,2.0
P0055,Motor,Keyboard_Only,Search,0.0,17.18448026335315,4.0,Compatibility,34.0,1.0,6.0,1.0
P0056,Visual,Screen_Reader,Form_Submit,0.0,21.64453809274518,0.0,None,32.0,4.0,6.0,3.0
P0057,Visual,Screen_Reader,Navigation,0.0,53.460337200045004,0.0,None,30.0,1.0,5.0,2.0
P0058,Hearing,None,Checkout,0.0,33.81021062542773,0.0,None,33.0,2.0,5.0,6.0
P0059,Hearing,None,Checkout,1.0,51.20152779484084,4.0,Focus,15.0,4.0,6.0,0.0
P0060,Visual,Screen_Reader,Search,0.0,,4.0,Focus,28.0,2.0,7.0,5.0
P0061,,Screen_Reader,Checkout,1.0,,3.0,Navigation,7.0,5.0,4.0,1.0
P0062,Hearing,None,Checkout,1.0,76.74243557794188,5.0,Navigation,17.0,4.0,6.0,3.0
P0063,Motor,Keyboard_Only,Navigation,1.0,80.83881752082178,1.0,Navigation,18.0,4.0,6.0,6.0
P0064,Hearing,None,Search,1.0,145.67841667305183,1.0,Focus,17.0,1.0,6.0,3.0
P0065,Cognitive,None,Search,0.0,,,Focus,27.0,5.0,6.0,1.0
P0066,Hearing,None,Navigation,1.0,230.9937693565368,5.0,Focus,10.0,5.0,6.0,2.0
P0067,Hearing,None,Search,1.0,80.34299500565159,3.0,Compatibility,15.0,2.0,5.0,6.0
P0068,Visual,Magnifier,Checkout,1.0,34.93927934948535,3.0,Labeling,15.0,3.0,7.0,2.0
P0069,Visual,Screen_Reader,Form_Submit,0.0,,5.0,Navigation,21.0,3.0,6.0,1.0
P0070,Visual,Magnifier,Navigation,0.0,125.74882627156211,0.0,None,29.0,3.0,5.0,4.0
P0071,Cognitive,None,Checkout,1.0,104.02554453987463,4.0,Compatibility,11.0,3.0,6.0,2.0
P0072,Motor,Voice_Control,Checkout,1.0,74.95533455470698,6.0,Compatibility,15.0,3.0,6.0,0.0
P0073,Motor,Voice_Control,Form_Submit,0.0,55.0195520442128,5.0,,22.0,3.0,5.0,1.0
P0074,Visual,Magnifier,Form_Submit,1.0,10.60188717838038,2.0,Labeling,19.0,,5.0,2.0
P0075,Motor,Voice_Control,Navigation,0.0,141.5037107351742,0.0,None,26.0,5.0,5.0,2.0
P0076,Motor,Keyboard_Only,Form_Submit,1.0,100.0785918658944,0.0,None,19.0,4.0,4.0,2.0
P0077,Motor,Keyboard_Only,Checkout,1.0,167.12202852249717,3.0,Compatibility,11.0,3.0,4.0,2.0
P0078,Cognitive,None,Navigation,0.0,249.75027593160263,2.0,Compatibility,28.0,4.0,4.0,5.0
P0079,Visual,Screen_Reader,Form_Submit,1.0,153.9976366566347,1.0,Navigation,14.0,5.0,6.0,0.0
P0080,Motor,Keyboard_Only,Navigation,1.0,38.888073063000704,1.0,Labeling,12.0,3.0,6.0,3.0
P0081,Motor,Voice_Control,Form_Submit,1.0,360.7430227091162,0.0,None,9.0,5.0,6.0,1.0
P0082,Cognitive,None,Navigation,1.0,27.864738328859403,5.0,Compatibility,18.0,5.0,6.0,0.0
P0083,Motor,Voice_Control,Form_Submit,1.0,63.273920358252,0.0,None,22.0,1.0,4.0,2.0
P0084,Visual,Screen_Reader,Checkout,0.0,240.02071775456665,3.0,Navigation,25.0,5.0,7.0,2.0
P0085,Cognitive,None,Search,1.0,91.16729465402742,0.0,None,17.0,2.0,5.0,2.0
P0086,Hearing,None,Search,1.0,108.24094348512858,4.0,Compatibility,12.0,1.0,5.0,4.0
P0087,Visual,Screen_Reader,Checkout,1.0,138.34007951644955,3.0,Labeling,11.0,3.0,5.0,2.0
P0088,Hearing,None,Checkout,1.0,31.30995459651612,2.0,Labeling,14.0,3.0,6.0,1.0
P0089,Hearing,None,Form_Submit,1.0,119.80297457877751,0.0,None,15.0,4.0,6.0,1.0
P0090,Motor,Voice_Control,Form_Submit,1.0,82.50053937724007,3.0,Compatibility,22.0,2.0,6.0,0.0
P0091,Hearing,None,Navigation,1.0,53.12196193153747,4.0,Labeling,15.0,4.0,6.0,1.0
P0092,Motor,Keyboard_Only,Search,0.0,154.07325544818926,1.0,Compatibility,19.0,5.0,6.0,4.0
P0093,Hearing,None,Search,1.0,83.1037593662677,3.0,Focus,27.0,4.0,4.0,5.0
P0094,Cognitive,None,Search,1.0,102.76335991878747,0.0,None,18.0,4.0,7.0,4.0
P0095,Hearing,None,Checkout,0.0,81.36131459707067,0.0,None,21.0,5.0,4.0,4.0
P0096,Hearing,None,Checkout,0.0,120.0419105968439,0.0,None,29.0,2.0,4.0,0.0
P0097,Visual,Magnifier,Navigation,1.0,36.383534489629795,3.0,Labeling,9.0,1.0,,4.0
P0098,Cognitive,None,Form_Submit,1.0,33.15442814478574,2.0,Labeling,22.0,4.0,,0.0
P0099,Hearing,None,Navigation,1.0,40.01018170200285,,Labeling,23.0,3.0,6.0,2.0
P0100,Cognitive,None,Navigation,1.0,10.662590598003002,2.0,Labeling,10.0,5.0,7.0,2.0
P0101,Motor,Keyboard_Only,Search,1.0,161.86983851624947,0.0,None,18.0,3.0,5.0,1.0
P0102,Motor,Voice_Control,Form_Submit,1.0,87.25400167622607,0.0,None,12.0,4.0,6.0,1.0
P0103,Hearing,None,Search,1.0,77.23559326542698,0.0,None,16.0,3.0,5.0,2.0
P0104,Motor,Voice_Control,Form_Submit,1.0,52.4002040154765,0.0,None,13.0,5.0,6.0,2.0
P0105,Visual,Screen_Reader,Form_Submit,0.0,925.3794756531378,0.0,None,30.0,5.0,5.0,0.0
P0106,Hearing,None,Search,1.0,196.89517505440693,2.0,Navigation,17.0,4.0,6.0,3.0
P0107,Hearing,None,Navigation,1.0,530.7710518826734,0.0,None,16.0,3.0,6.0,2.0
P0108,Cognitive,None,Form_Submit,1.0,92.62811326517081,0.0,None,18.0,5.0,6.0,2.0
P0109,Visual,Magnifier,Checkout,1.0,117.0458332224292,0.0,None,20.0,3.0,6.0,3.0
P0110,Hearing,None,Search,1.0,107.80266557246185,6.0,Labeling,18.0,5.0,7.0,2.0
P0111,Cognitive,None,Checkout,1.0,,0.0,None,15.0,5.0,5.0,2.0
P0112,Cognitive,None,Checkout,1.0,77.20153853065773,5.0,Focus,21.0,5.0,5.0,2.0
P0113,Motor,Voice_Control,Navigation,1.0,57.41028257967048,0.0,None,17.0,2.0,7.0,1.0
P0114,Visual,Screen_Reader,Form_Submit,0.0,20.235971325348075,4.0,Compatibility,15.0,1.0,6.0,0.0
P0115,Motor,Voice_Control,Checkout,1.0,126.36745874000013,2.0,Focus,13.0,5.0,5.0,3.0
P0116,Visual,Screen_Reader,Checkout,1.0,66.54328018613299,4.0,Compatibility,23.0,5.0,6.0,1.0
P0117,Motor,Keyboard_Only,Navigation,1.0,66.65038679818115,0.0,None,13.0,5.0,6.0,3.0
P0118,Visual,Magnifier,Form_Submit,1.0,64.49306245427967,4.0,Labeling,17.0,2.0,5.0,4.0
P0119,Hearing,None,Search,0.0,140.05448155317924,0.0,None,23.0,1.0,6.0,1.0
P0120,Motor,Voice_Control,Navigation,0.0,25.74653448135291,2.0,Compatibility,29.0,4.0,6.0,0.0
P0121,Hearing,None,Search,0.0,68.33306413646716,0.0,None,32.0,2.0,6.0,1.0
P0122,Cognitive,None,Navigation,1.0,28.147428639699093,0.0,None,19.0,5.0,7.0,4.0
P0123,Cognitive,None,Search,1.0,56.2604048888595,5.0,Focus,15.0,,5.0,0.0
P0124,Cognitive,None,Search,1.0,157.0059470783744,4.0,,12.0,5.0,5.0,1.0
P0125,Visual,Magnifier,Checkout,1.0,40.175039056947725,1.0,Focus,12.0,3.0,6.0,1.0
P0126,Hearing,None,Form_Submit,1.0,60.3655390123465,3.0,Labeling,18.0,1.0,6.0,2.0
P0127,Cognitive,None,Form_Submit,1.0,49.10693570548612,5.0,Compatibility,19.0,3.0,6.0,2.0
P0128,Visual,Screen_Reader,Navigation,1.0,49.29693578227953,3.0,Labeling,14.0,3.0,6.0,4.0
P0129,Visual,Screen_Reader,Checkout,1.0,39.007733615894956,3.0,Focus,12.0,2.0,7.0,1.0
P0130,Cognitive,None,Checkout,1.0,106.73178452635112,0.0,None,15.0,5.0,7.0,1.0
P0131,Cognitive,None,Form_Submit,1.0,73.7777261552202,5.0,Focus,11.0,1.0,6.0,1.0
P0132,Cognitive,None,Navigation,1.0,87.7648994319548,5.0,Navigation,15.0,1.0,7.0,0.0
P0133,Cognitive,None,Checkout,1.0,103.88903074959086,2.0,Labeling,14.0,3.0,6.0,3.0
P0134,Cognitive,None,Checkout,0.0,,0.0,None,27.0,4.0,6.0,2.0
P0135,Cognitive,None,Navigation,1.0,157.64828602566544,3.0,Focus,15.0,3.0,5.0,0.0
P0136,Motor,Keyboard_Only,Search,1.0,75.45994261710999,1.0,,23.0,5.0,6.0,3.0
P0137,Cognitive,None,Search,1.0,142.66187862715952,0.0,None,21.0,4.0,5.0,3.0
P0138,Motor,Voice_Control,Search,1.0,50.617619618096,2.0,Compatibility,17.0,3.0,5.0,6.0
P0139,Visual,Screen_Reader,Search,1.0,674.7297708252805,6.0,Navigation,14.0,4.0,5.0,1.0
P0140,Motor,Keyboard_Only,Checkout,1.0,131.57704145093007,1.0,Compatibility,16.0,3.0,,1.0
P0141,Motor,Voice_Control,Search,0.0,174.05289411273532,3.0,Labeling,21.0,1.0,7.0,1.0
P0142,Cognitive,None,Form_Submit,0.0,32.933914724656276,0.0,None,20.0,3.0,5.0,2.0
P0143,Motor,Keyboard_Only,Search,1.0,69.26130696937602,2.0,Navigation,11.0,3.0,6.0,2.0
P0144,Visual,Magnifier,Checkout,1.0,57.76943793979683,1.0,Compatibility,17.0,4.0,5.0,3.0
P0145,Visual,Magnifier,Form_Submit,1.0,525.5597325969945,2.0,Labeling,14.0,4.0,5.0,2.0
P0146,,Magnifier,Checkout,1.0,65.73489235869525,0.0,None,14.0,3.0,6.0,3.0
P0147,Visual,Screen_Reader,Form_Submit,1.0,207.7297351664766,3.0,Focus,10.0,3.0,6.0,1.0
P0148,Hearing,,Navigation,0.0,615.3144357464118,4.0,Focus,26.0,1.0,5.0,0.0
P0149,Cognitive,None,Search,0.0,163.17618665296197,3.0,Compatibility,18.0,2.0,7.0,0.0
P0150,Hearing,None,Navigation,1.0,68.92424010472048,0.0,None,12.0,5.0,4.0,1.0
P0151,Cognitive,,Search,1.0,264.55969472400795,5.0,Navigation,9.0,3.0,6.0,2.0
