Participant_ID,Disability_Type,Assistive_Tech,Task_Name,Task_Success,Completion_Time_s,Error_Count,Error_Type,Keyboard_Presses,Cognitive_Load_Score,Satisfaction_Score,WCAG_Issue_Count
P0001,Motor,Voice_Control,Form_Submit,1.0,,0.0,None,14.0,2.0,7.0,0
P0002,Motor,Keyboard_Only,Navigation,0.0,155.265896185273,0.0,None,27.0,4.0,7.0,7
P0003,Motor,Voice_Control,Checkout,1.0,357.39341443344944,0.0,None,17.0,3.0,7.0,2
P0004,,Voice_Control,Navigation,1.0,70.06578444248429,4.0,Compatibility,18.0,3.0,5.0,1
P0005,Hearing,None,Navigation,0.0,206.3546373179081,3.0,Focus,26.0,2.0,7.0,2
P0006,Motor,Voice_Control,,1.0,52.71887046641072,3.0,Navigation,15.0,,6.0,1
P0007,Cognitive,None,Search,1.0,77.96692764676462,0.0,None,9.0,4.0,6.0,3
P0008,Visual,Screen_Reader,Navigation,1.0,53.04445475026613,0.0,None,14.0,3.0,5.0,2
P0009,Hearing,None,Checkout,1.0,52.97964487408717,0.0,None,17.0,4.0,5.0,4
P0010,Hearing,None,Form_Submit,1.0,282.38460675207875,0.0,None,16.0,4.0,6.0,1
P0011,,Screen_Reader,Form_Submit,0.0,36.84855505737922,0.0,,30.0,3.0,6.0,1
P0012,Visual,Screen_Reader,Checkout,0.0,63.5465125618435,5.0,Labeling,19.0,1.0,6.0,0
P0013,Cognitive,None,Navigation,1.0,94.18721628196177,0.0,None,17.0,3.0,4.0,4
P0014,Visual,Screen_Reader,,0.0,60.73433564272855,8.0,Labeling,36.0,3.0,5.0,1
P0015,Motor,Keyboard_Only,Search,0.0,37.56907749635629,0.0,None,29.0,4.0,6.0,2
P0016,Cognitive,None,Form_Submit,1.0,50.55299819289411,0.0,None,16.0,3.0,6.0,3
P0017,Motor,Voice_Control,Form_Submit,1.0,52.00198334223639,3.0,Labeling,17.0,4.0,5.0,0
P0018,Cognitive,None,Navigation,1.0,287.66203838039615,0.0,None,11.0,3.0,7.0,1
P0019,Cognitive,None,Navigation,1.0,16.342541192528632,2.0,Focus,17.0,5.0,5.0,5
P0020,Motor,Keyboard_Only,Search,1.0,113.29906838261938,2.0,Labeling,14.0,5.0,6.0,2
P0021,Hearing,None,,0.0,297.2838058444791,4.0,Navigation,22.0,3.0,6.0,1
P0022,Visual,Magnifier,Search,1.0,53.61259568329362,0.0,None,10.0,3.0,4.0,0
P0023,Hearing,None,Navigation,1.0,53.31719903960875,4.0,Navigation,18.0,3.0,4.0,2
P0024,Cognitive,None,Form_Submit,1.0,72.48353364792787,0.0,None,13.0,4.0,5.0,1
P0025,Cognitive,None,Checkout,1.0,41.604307621818805,0.0,None,16.0,4.0,6.0,3
P0026,Hearing,None,Checkout,1.0,38.858473960261655,0.0,None,17.0,3.0,5.0,0
P0027,Motor,Keyboard_Only,Checkout,,45.29972362202371,,None,20.0,3.0,7.0,3
P0028,Hearing,None,Form_Submit,0.0,20.902858203323746,0.0,None,26.0,2.0,5.0,3
P0029,Motor,Keyboard_Only,Checkout,0.0,86.68149975014487,1.0,Navigation,26.0,3.0,5.0,1
P0030,Motor,Voice_Control,Checkout,1.0,142.9644906599331,5.0,Navigation,6.0,2.0,5.0,2
P0031,Cognitive,None,Checkout,1.0,142.60411992957063,2.0,Focus,15.0,2.0,5.0,2
P0032,Hearing,None,Navigation,0.0,57.773218249748794,0.0,None,28.0,4.0,6.0,0
P0033,Cognitive,None,Navigation,1.0,80.72449685189662,0.0,None,11.0,3.0,6.0,2
P0034,Hearing,None,Search,1.0,220.93914542117028,3.0,Focus,22.0,2.0,6.0,2
P0035,Hearing,None,Navigation,0.0,23.4285524451377,2.0,Compatibility,26.0,3.0,6.0,4
P0036,Cognitive,None,Search,1.0,110.69228641712465,0.0,None,16.0,3.0,5.0,1
P0037,Cognitive,None,Navigation,1.0,146.7070386905715,0.0,None,10.0,3.0,6.0,2
P0038,Visual,Screen_Reader,Checkout,1.0,95.33728574485188,0.0,None,14.0,4.0,7.0,1
P0039,Visual,Screen_Reader,Checkout,0.0,175.04710061321543,2.0,Labeling,36.0,4.0,6.0,1
P0040,Cognitive,None,Search,1.0,182.17873146625882,2.0,Focus,20.0,4.0,7.0,2
P0041,Cognitive,None,Search,1.0,46.97761826759855,2.0,Compatibility,12.0,4.0,6.0,1
P0042,Cognitive,None,Search,0.0,119.12121207255538,1.0,Compatibility,17.0,4.0,5.0,2
P0043,Hearing,None,Search,0.0,81.94523013151172,4.0,Focus,26.0,3.0,6.0,1
P0044,Visual,Screen_Reader,Search,1.0,70.09335301888122,4.0,Compatibility,,2.0,5.0,3
P0045,Visual,Screen_Reader,Checkout,1.0,223.55451050055208,2.0,Focus,16.0,3.0,6.0,2
P0046,Hearing,None,Search,1.0,112.57297578794191,0.0,None,8.0,4.0,5.0,5
P0047,Motor,Voice_Control,Form_Submit,1.0,37.55592536087474,0.0,None,12.0,3.0,7.0,2
P0048,Hearing,None,Search,0.0,145.7784560376416,2.0,Compatibility,21.0,2.0,7.0,2
P0049,Hearing,None,Form_Submit,0.0,233.68515119653324,0.0,None,23.0,3.0,,1
P0050,Visual,Screen_Reader,Form_Submit,1.0,90.22435249488942,0.0,None,16.0,5.0,6.0,0
