Participant_ID,Trial_ID,Condition,Stimulus_Word,Stimulus_Color,Response_Key,Correct_Response,Reaction_Time_ms,Accuracy,Trial_Order,Feedback,Age,Gender,Session_Number
P0001,1.0,Incongruent,Green,Blue,Space,0.0,919.1131520682601,,1.0,None,36.0,M,1.0
P0002,2.0,Congruent,Red,Red,Space,1.0,232.63044317745067,1.0,2.0,None,23.0,M,1.0
P0003,3.0,Congruent,Green,Green,,1.0,177.8272460284471,1.0,3.0,None,31.0,M,1.0
P0004,4.0,Incongruent,Blue,Green,Space,0.0,900.4908135557631,0.0,4.0,,38.0,M,1.0
P0005,5.0,Neutral,Red,Red,Space,1.0,206.60009959673576,1.0,5.0,None,44.0,M,1.0
P0006,6.0,Congruent,Green,Red,Space,1.0,336.3789934033746,1.0,6.0,None,25.0,F,1.0
P0007,7.0,Congruent,Blue,Green,Space,1.0,227.78235039357767,1.0,7.0,None,20.0,M,1.0
P0008,8.0,Neutral,Green,Green,Space,0.0,402.6509207552874,0.0,8.0,None,29.0,F,1.0
P0009,9.0,Congruent,Yellow,Green,Space,1.0,316.6290126651304,1.0,9.0,None,18.0,M,1.0
P0010,10.0,Incongruent,Red,Yellow,Space,0.0,783.6722468048138,0.0,10.0,None,56.0,F,1.0
P0011,11.0,Neutral,Green,Red,Space,0.0,346.2444929258136,1.0,11.0,None,18.0,F,1.0
P0012,12.0,Congruent,Red,Red,Space,1.0,210.36233228406655,0.0,12.0,None,18.0,M,1.0
P0013,13.0,Neutral,Blue,Yellow,Space,0.0,340.030684092814,1.0,13.0,None,42.0,M,1.0
P0014,14.0,Neutral,Yellow,Blue,Space,0.0,225.88066901189708,1.0,14.0,None,30.0,F,1.0
P0015,15.0,Congruent,Red,Yellow,Space,1.0,204.34558134274184,1.0,15.0,None,23.0,M,1.0
P0016,16.0,Incongruent,Yellow,Green,Space,0.0,856.9122469630164,0.0,16.0,None,18.0,F,1.0
P0017,17.0,Neutral,Blue,Red,Space,1.0,293.2148687943307,1.0,17.0,None,24.0,M,1.0
P0018,18.0,Neutral,Yellow,Blue,Space,0.0,168.28376874055596,1.0,18.0,None,22.0,F,1.0
P0019,19.0,Congruent,Yellow,Yellow,Space,1.0,151.27993255056904,1.0,19.0,None,37.0,M,1.0
