Participant_ID,Trial_ID,Condition,Stimulus_Word,Stimulus_Color,Response_Key,Correct_Response,Reaction_Time_ms,Accuracy,Trial_Order,Feedback,Age,Gender,Session_Number
P0001,1.0,Congruent,Yellow,,Space,1.0,222.90735000062782,1.0,1.0,None,19.0,F,1.0
P0002,2.0,Congruent,Red,Red,Space,1.0,184.8886143365026,1.0,2.0,None,49.0,M,1.0
P0003,3.0,Neutral,Red,Red,Space,1.0,252.730185395467,1.0,3.0,None,39.0,F,1.0
P0004,4.0,Congruent,Blue,Yellow,Space,1.0,318.55935265572293,1.0,4.0,None,31.0,F,1.0
P0001,5.0,Neutral,Yellow,Red,Space,0.0,384.5086130380063,1.0,5.0,None,19.0,F,1.0
P0002,6.0,Neutral,Yellow,Red,Space,1.0,475.8722104494442,1.0,6.0,None,49.0,M,1.0
P0003,7.0,Incongruent,Blue,Blue,Space,0.0,696.4371698766583,1.0,7.0,None,39.0,F,1.0
P0004,8.0,Congruent,Yellow,Green,Space,1.0,302.26758343035607,1.0,,None,31.0,F,1.0
P0001,9.0,Incongruent,Blue,Green,Space,0.0,1273.5341951931186,1.0,9.0,None,19.0,F,1.0
P0002,10.0,Neutral,Red,Yellow,Space,1.0,180.67118885669532,1.0,10.0,None,49.0,M,1.0
P0003,11.0,Neutral,Red,Blue,Space,1.0,628.1228643617134,1.0,11.0,None,39.0,F,1.0
P0004,12.0,Incongruent,Red,Red,Space,0.0,646.2214808019042,1.0,12.0,None,31.0,F,1.0
P0001,13.0,Incongruent,Red,Blue,Space,0.0,664.2924244824,1.0,13.0,None,19.0,F,1.0
P0002,14.0,Congruent,Red,Yellow,Space,1.0,285.4893632783788,1.0,14.0,None,49.0,M,1.0
P0003,15.0,Neutral,Red,Green,Space,1.0,426.9310795749248,1.0,15.0,None,39.0,F,1.0
P0004,16.0,Neutral,Green,,Space,0.0,315.3281689036664,1.0,16.0,None,31.0,F,1.0
P0001,17.0,Congruent,Yellow,Red,Space,1.0,282.76277436294447,1.0,17.0,None,19.0,F,1.0
P0002,18.0,Congruent,Yellow,Green,Space,1.0,165.99193091327865,1.0,18.0,None,49.0,M,1.0
P0003,19.0,Incongruent,Red,Red,Space,0.0,977.3379520729525,0.0,19.0,None,39.0,F,1.0
P0004,20.0,Congruent,Blue,Blue,Space,1.0,279.277243561328,1.0,20.0,None,31.0,F,1.0
P0001,21.0,Neutral,Yellow,Blue,Space,0.0,304.9162112404305,1.0,21.0,None,19.0,F,1.0
P0002,22.0,Neutral,Green,Blue,Space,1.0,432.8270992879727,1.0,22.0,None,49.0,M,1.0
P0003,23.0,Congruent,Yellow,Green,Space,1.0,224.61429056644306,1.0,23.0,None,39.0,F,1.0
P0004,24.0,Neutral,Yellow,Yellow,Space,1.0,405.89167263029395,1.0,24.0,None,31.0,F,1.0
P0001,25.0,Incongruent,Red,Yellow,Space,0.0,595.116568938518,1.0,25.0,None,19.0,F,1.0
P0002,26.0,Incongruent,Yellow,Green,Space,0.0,372.53386102930716,1.0,26.0,None,49.0,M,1.0
P0003,27.0,Incongruent,Yellow,Red,Space,0.0,931.3067915664366,1.0,27.0,None,39.0,F,1.0
P0004,28.0,Congruent,Red,Red,Space,1.0,264.0545632786951,1.0,28.0,,31.0,F,1.0
P0001,29.0,Incongruent,Blue,Green,Space,0.0,,1.0,29.0,None,19.0,F,1.0
P0002,30.0,Congruent,Red,Blue,Space,1.0,196.91875015616895,1.0,,None,49.0,M,1.0
P0003,31.0,Congruent,Green,Blue,Space,1.0,271.5440397460905,1.0,31.0,None,39.0,F,1.0
P0004,32.0,Congruent,Yellow,Yellow,Space,1.0,178.47571928530158,1.0,32.0,None,31.0,F,1.0
P0001,33.0,Congruent,Green,Yellow,Space,1.0,247.4845357489864,1.0,33.0,,19.0,F,1.0
P0002,34.0,Incongruent,Red,Green,Space,0.0,296.4474769721905,1.0,34.0,None,49.0,M,1.0
P0003,35.0,Neutral,Blue,Blue,Space,1.0,282.8793733870679,1.0,35.0,None,39.0,F,1.0
