User_ID,Device_Type,Latitude,Longitude,Session_Timestamp,Gaze_Target,Interaction_Type,Task_Success,Distance_to_Target_m,Head_Orientation_XYZ,Latency_ms,Completion_Time_s,Cognitive_Load_Score
U0001,,37.30441536007348,-121.80993595482454,2024-01-01 00:00:00,UI_Panel,Voice,1.0,9.054699731707869,"(0.08, 0.29, -0.41)",97.28234434369006,40.056004611063685,1.0
U0002,HTC_Vive,37.96740586219174,-122.45939430397311,2024-01-01 00:00:05,Object_A,Gaze,0.0,0.9616534617496401,"(0.53, 0.23, 0.13)",43.75107117159528,90.4652665966246,3.0
U0003,HTC_Vive,37.120957881303596,-122.0751576155619,2024-01-01 00:00:10,Object_A,,1.0,1.0499157738173879,"(0.58, -0.94, 0.51)",60.572852706979674,14.014627076546464,4.0
U0004,Oculus_Quest,37.77362144210234,-122.02490696355834,2024-01-01 00:00:15,Object_A,Voice,1.0,2.246325182564468,"(-0.17, -0.34, -0.72)",307.8960286748865,85.27254024012556,5.0
U0005,AR_Glasses,37.193207795193416,-121.54695569596703,2024-01-01 00:00:20,UI_Panel,Voice,1.0,1.2392325798978923,"(-0.36, -0.84, 0.29)",94.0717203689967,100.84529815245246,3.0
U0006,HTC_Vive,37.34854394904683,-122.1359041463977,2024-01-01 00:00:25,UI_Panel,Gaze,1.0,0.7190294939340198,"(-0.64, -0.36, -0.00)",182.97147570614476,30.801227294308593,5.0
U0007,Oculus_Quest,37.683917043779054,-121.50852228033513,2024-01-01 00:00:30,Object_A,Voice,1.0,13.462025545912617,"(-0.23, 0.17, -0.78)",142.086462799551,49.97770472169074,4.0
U0008,AR_Glasses,37.26595404999101,-121.55198794529078,2024-01-01 00:00:35,UI_Panel,Voice,0.0,2.1471147598282005,"(0.75, 0.91, -0.63)",118.55268849095447,,3.0
U0009,,37.57308982759444,-121.82158982381817,2024-01-01 00:00:40,Avatar,Voice,1.0,2.295970070409641,"(0.21, 0.24, 0.84)",497.4934452397286,103.54512871311212,2.0
U0010,Oculus_Quest,37.94770817245716,-121.70970773103113,2024-01-01 00:00:45,Avatar,Gaze,1.0,9.255893873606999,"(-0.49, -0.78, -0.94)",,34.42370484542789,3.0
U0011,Oculus_Quest,37.12936477938081,-122.01303274361825,2024-01-01 00:00:50,UI_Panel,Pointer,1.0,1.8152108115381973,"(-0.62, 0.54, 0.28)",45.62715744274184,25.986851054254934,4.0
U0012,HTC_Vive,37.58801835959369,-121.56163676925648,2024-01-01 00:00:55,Avatar,Pointer,1.0,3.946266345596682,"(-0.11, 0.74, 0.89)",26.46420201899701,85.43536199741288,2.0
U0013,AR_Glasses,37.48864635077119,-121.79416053646266,2024-01-01 00:01:00,Avatar,Gesture,1.0,0.9899412663126488,"(-0.39, -0.67, -0.33)",,36.31101397759027,3.0
U0014,HTC_Vive,37.12092333301887,-122.05638329498424,2024-01-01 00:01:05,Avatar,Pointer,1.0,1.5984870226283179,"(0.65, -0.31, 0.90)",268.1785719529487,42.58905226759275,2.0
U0015,HTC_Vive,37.39027387470646,-122.0571356776045,2024-01-01 00:01:10,Avatar,Pointer,1.0,1.7428427051668234,"(-0.88, 0.41, -0.45)",123.07848402434844,98.93097069439627,2.0
U0016,HTC_Vive,37.718191401131996,-122.23583037523065,2024-01-01 00:01:15,Object_A,Pointer,1.0,0.7985477201694389,"(0.15, 0.46, 0.58)",67.84079452283781,29.85183030506248,2.0
U0017,HTC_Vive,37.0043148861465,-122.49870928739614,2024-01-01 00:01:20,Object_B,Gesture,0.0,0.6068016291811715,"(0.80, 0.22, -0.31)",82.24459017585225,14.477393927354273,1.0
