User_ID,Cohort_Date,Feature_Name,Feature_Used,Days_Since_Launch,Usage_Count,Retention_Day_1,Retention_Day_7,Retention_Day_30,Session_Length_s,Engagement_Score,Subscription_Status,Region,Device_Type
U00001,2024-01-29,Profile_Edit,1.0,16.0,9.0,1.0,1.0,0.0,15.186654764132156,73.6147625068159,1.0,Other,Desktop
U00002,,Notifications,1.0,54.0,3.0,1.0,0.0,0.0,120.32555833286482,47.378356676668574,1.0,Other,Mobile
U00003,2024-01-28,Dark_Mode,1.0,48.0,3.0,0.0,0.0,0.0,26.358793159776695,58.80128773892128,1.0,US,Mobile
U00004,2024-01-04,Search,0.0,4.0,0.0,1.0,1.0,0.0,69.2653348794163,22.87939379396659,0.0,ASIA,Desktop
U00005,2024-01-06,Notifications,1.0,57.0,5.0,0.0,0.0,0.0,60.66747901731126,73.32665282535115,1.0,US,Desktop
U00006,2024-01-01,Profile_Edit,0.0,25.0,0.0,1.0,1.0,0.0,72.1164518515656,68.37992032132935,0.0,US,Desktop
U00007,2024-01-16,Notifications,0.0,25.0,0.0,1.0,1.0,0.0,199.250005897848,29.990244779962183,0.0,Other,Desktop
U00008,2024-01-09,Dark_Mode,1.0,48.0,4.0,0.0,0.0,0.0,58.88968411900188,67.49967901444533,1.0,ASIA,Tablet
U00009,2024-01-30,Search,1.0,46.0,5.0,1.0,1.0,,206.84123519642804,48.54401184151814,0.0,Other,Desktop
U00010,2024-01-01,Export_Data,,41.0,2.0,0.0,,0.0,40.066856735817645,75.42179169871761,1.0,EU,Desktop
U00011,2024-01-08,Notifications,1.0,58.0,4.0,0.0,0.0,0.0,103.48091052642991,52.485629773424726,0.0,US,Mobile
U00012,2024-01-10,Profile_Edit,1.0,47.0,7.0,1.0,1.0,0.0,14.364680415515124,47.07127655800578,1.0,ASIA,Mobile
U00013,2024-01-29,Export_Data,1.0,27.0,4.0,1.0,1.0,0.0,73.58705221047262,44.28166296190199,0.0,EU,Tablet
U00014,2024-01-08,Notifications,1.0,48.0,5.0,1.0,0.0,0.0,145.87517013978984,71.5233083969943,0.0,US,Desktop
U00015,2024-01-20,Export_Data,1.0,0.0,4.0,0.0,0.0,0.0,40.25823238691693,61.60650970902823,0.0,Other,Desktop
U00016,,Export_Data,0.0,47.0,0.0,1.0,1.0,0.0,49.775939603176596,53.57952085587828,0.0,Other,Tablet
U00017,2024-01-15,,1.0,42.0,2.0,1.0,1.0,0.0,9.048697939765466,53.92883782765809,0.0,ASIA,Tablet
U00018,2024-01-10,Dark_Mode,0.0,9.0,0.0,1.0,0.0,0.0,107.17222586686584,15.541204643760553,0.0,EU,Desktop
U00019,2024-01-26,Search,1.0,19.0,6.0,1.0,1.0,0.0,180.11139157236155,,1.0,US,Mobile
U00020,2024-01-18,Export_Data,1.0,9.0,4.0,1.0,0.0,0.0,40.14226482494229,79.19140051370431,0.0,US,Tablet
U00021,2024-01-26,Search,0.0,35.0,0.0,1.0,0.0,0.0,24.579259435144696,29.48316682539393,0.0,US,Mobile
U00022,2024-01-05,Profile_Edit,1.0,36.0,4.0,1.0,0.0,0.0,72.89641800147395,61.25199820354794,1.0,US,Mobile
U00023,2024-01-30,Profile_Edit,0.0,30.0,0.0,0.0,0.0,0.0,81.16939803574111,29.382438165926395,0.0,Other,Desktop
U00024,2024-01-19,Notifications,1.0,,5.0,1.0,0.0,0.0,64.70098181899222,80.5799749811984,0.0,US,Mobile
U00025,2024-01-07,Search,1.0,9.0,,1.0,0.0,0.0,57.313995577877705,34.5377069945941,1.0,EU,Mobile
U00026,2024-01-17,Profile_Edit,1.0,23.0,6.0,1.0,1.0,0.0,100.46785354710222,,1.0,EU,Tablet
U00027,2024-01-09,Export_Data,1.0,0.0,7.0,1.0,1.0,0.0,73.73924041705963,57.98590310599435,0.0,Other,Mobile
U00028,2024-01-19,Profile_Edit,1.0,28.0,1.0,1.0,1.0,0.0,16.890819417991803,69.62213548891333,1.0,EU,Tablet
U00029,2024-01-28,Export_Data,1.0,58.0,4.0,0.0,0.0,0.0,101.76123111000561,49.98289973189966,1.0,ASIA,Desktop
U00030,2024-01-08,Notifications,1.0,27.0,6.0,0.0,0.0,0.0,29.555292753743934,76.41069873305277,1.0,EU,Mobile
U00031,2024-01-01,Search,1.0,33.0,5.0,1.0,0.0,,48.40640902062341,87.11994580696717,0.0,Other,Desktop
U00032,2024-01-03,Search,1.0,30.0,8.0,1.0,0.0,0.0,51.51806837929825,80.37163913003964,1.0,ASIA,Tablet
U00033,2024-01-16,Notifications,0.0,4.0,0.0,1.0,0.0,0.0,32.45669368607802,23.77344651554662,1.0,EU,Desktop
U00034,2024-01-20,Search,1.0,48.0,7.0,1.0,1.0,0.0,68.76961719613942,40.30111519508752,1.0,US,Tablet
U00035,2024-01-02,Export_Data,1.0,13.0,9.0,1.0,0.0,0.0,89.94782478978064,70.6025555300348,1.0,US,Tablet
U00036,2024-01-09,Notifications,1.0,51.0,9.0,1.0,0.0,0.0,72.52236084600803,69.46174143632349,0.0,EU,Desktop
U00037,2024-01-18,Search,1.0,30.0,6.0,1.0,1.0,1.0,24.63361590444088,82.07563693472794,0.0,ASIA,Tablet
U00038,2024-01-17,Export_Data,1.0,49.0,4.0,1.0,1.0,0.0,30.79401077867271,66.89417478317094,1.0,Other,Desktop
U00039,2024-01-17,Notifications,1.0,40.0,5.0,1.0,0.0,0.0,46.66339082463971,80.71601133500424,1.0,ASIA,Tablet
U00040,2024-01-18,Dark_Mode,0.0,23.0,0.0,0.0,0.0,0.0,,10.686429232880943,0.0,US,Desktop
U00041,2024-01-16,Notifications,1.0,46.0,3.0,1.0,0.0,0.0,61.73426554439916,32.35121498409411,0.0,US,Desktop
U00042,2024-01-06,Notifications,0.0,,0.0,1.0,0.0,0.0,44.41541888783605,32.6860018803915,1.0,ASIA,Desktop
,2024-01-09,Dark_Mode,0.0,46.0,0.0,1.0,0.0,0.0,32.88582871622243,20.67892267329838,1.0,EU,Mobile
