User_ID,Cohort_Date,Feature_Name,Feature_Used,Days_Since_Launch,Usage_Count,Retention_Day_1,Retention_Day_7,Retention_Day_30,Session_Length_s,Engagement_Score,Subscription_Status,Region,Device_Type
U00001,2024-01-04,Export_Data,1.0,47.0,5,1,0.0,0.0,47.031269604281704,44.05020447040206,0.0,US,Mobile
U00002,2024-01-01,Export_Data,1.0,58.0,5,1,0.0,0.0,104.35176434960074,88.96959110002138,0.0,EU,Desktop
U00003,2024-01-24,Notifications,1.0,27.0,8,1,0.0,0.0,32.171225860400455,62.28548682088799,0.0,ASIA,Tablet
U00004,2024-01-26,Notifications,0.0,35.0,0,1,1.0,0.0,91.13558611824514,20.233154172100647,0.0,ASIA,Desktop
U00005,2024-01-15,Notifications,1.0,51.0,4,1,1.0,1.0,57.792382834710544,72.35792405326978,0.0,US,Tablet
U00006,2024-01-22,Dark_Mode,1.0,3.0,4,1,0.0,0.0,40.669844594496546,86.99856328026102,1.0,ASIA,Mobile
U00007,2024-01-04,Profile_Edit,1.0,21.0,4,1,0.0,0.0,47.45839697620774,85.47619670361799,0.0,EU,Mobile
U00008,2024-01-21,Export_Data,1.0,17.0,3,1,1.0,1.0,,47.46907211361145,0.0,EU,Desktop
U00009,2024-01-26,Notifications,0.0,4.0,0,1,0.0,0.0,23.99720936390785,19.61494490472484,0.0,Other,Tablet
U00010,2024-01-02,Profile_Edit,1.0,27.0,3,0,0.0,0.0,34.876063438351636,38.55753222198188,1.0,US,Desktop
U00011,2024-01-27,Search,1.0,20.0,2,1,0.0,0.0,69.8635337166652,67.26952218319227,0.0,ASIA,Tablet
U00012,2024-01-06,Notifications,1.0,30.0,3,1,0.0,0.0,31.802542113687647,58.13316964431349,0.0,Other,Tablet
,2024-01-01,Search,1.0,50.0,3,0,0.0,0.0,51.42302717746611,88.73511018852504,0.0,,Mobile
U00014,2024-01-07,Export_Data,1.0,0.0,2,1,1.0,1.0,34.022440962370176,37.45467529761042,1.0,Other,Tablet
U00015,2024-01-21,Notifications,1.0,49.0,5,1,1.0,0.0,19.091601110358685,58.99351035568934,0.0,EU,Tablet
U00016,2024-01-21,Export_Data,0.0,39.0,0,0,0.0,0.0,63.713303576502476,26.98548923014799,0.0,ASIA,Tablet
U00017,2024-01-11,Search,1.0,25.0,5,1,1.0,0.0,19.865515901912573,62.71535959941349,0.0,US,Tablet
U00018,2024-01-29,Dark_Mode,1.0,24.0,4,1,1.0,1.0,36.443361683333386,49.22649783252515,0.0,EU,Tablet
U00019,,Dark_Mode,0.0,10.0,0,1,0.0,0.0,134.2480822436508,23.78023046830758,0.0,Other,Mobile
U00020,2024-01-01,Profile_Edit,1.0,40.0,2,1,0.0,0.0,82.7121300047166,60.7388461975684,1.0,US,Desktop
U00021,2024-01-04,Notifications,1.0,27.0,4,0,0.0,0.0,25.586101058296702,74.98714610887957,1.0,EU,Mobile
U00022,2024-01-15,Profile_Edit,1.0,19.0,7,0,0.0,0.0,32.409539210956076,73.67773633657067,0.0,Other,Mobile
U00023,2024-01-04,Notifications,1.0,41.0,5,1,1.0,0.0,378.05095553850526,73.51902120056705,0.0,EU,Mobile
U00024,2024-01-13,Export_Data,0.0,6.0,0,1,0.0,0.0,24.893100221163866,8.124145967753362,0.0,EU,Mobile
U00025,2024-01-21,Notifications,0.0,2.0,0,1,0.0,0.0,22.661646569539762,21.469231837590037,0.0,Other,Desktop
U00026,2024-01-09,Profile_Edit,1.0,44.0,2,0,0.0,0.0,82.96440523679215,38.34552122506522,0.0,ASIA,Mobile
U00027,2024-01-18,Export_Data,1.0,34.0,7,1,1.0,1.0,5.92496349073409,50.44081526444087,0.0,ASIA,Desktop
U00028,2024-01-18,Notifications,1.0,37.0,11,1,1.0,1.0,67.81684188351643,53.34189190795192,0.0,ASIA,Desktop
U00029,2024-01-07,Profile_Edit,0.0,29.0,0,0,0.0,0.0,83.75929344003055,54.516705426530606,,Other,Tablet
U00030,2024-01-30,Dark_Mode,1.0,28.0,9,1,1.0,0.0,200.65829964438294,63.55891389938787,0.0,EU,Mobile
U00031,2024-01-01,,0.0,32.0,0,1,0.0,0.0,38.04845398962775,,0.0,ASIA,Desktop
U00032,2024-01-16,Export_Data,1.0,17.0,6,1,1.0,,10.089793874102778,32.37512225740991,1.0,Other,Tablet
U00033,2024-01-04,Export_Data,1.0,25.0,5,0,0.0,0.0,201.87367547209456,41.44180225298155,0.0,EU,Tablet
U00034,2024-01-25,Export_Data,,57.0,5,1,0.0,0.0,54.22936855901884,61.987723476660605,0.0,Other,Mobile
U00035,2024-01-03,Notifications,1.0,48.0,5,0,0.0,0.0,36.29316838301981,61.37078814097118,1.0,EU,Desktop
U00036,2024-01-30,Export_Data,1.0,37.0,10,0,0.0,0.0,32.22699747913851,74.60595487774732,1.0,EU,Tablet
