User_ID,Session_ID,Task_Name,Task_Success,Time_to_Complete_s,Error_Rate_%,Satisfaction_Score,Cognitive_Load_Score,System_Latency_ms,Click_Error_Rate,Average_Path_Length,Help_Accessed,Post_Task_Confidence,Device_OS,Timestamp
U00001,S000001,Login,1.0,92.47249893775142,2.7477596774985935,5.843158471993023,4.648077634405939,75.51287197520756,0.6140733878253325,6.0,0.0,5.0,MacOS,2024-02-21
U00002,S000002,Upload,1.0,25.194783273928635,9.346165552561612,6.642009467393919,3.714360251879092,111.22436504418664,0.41362961586888003,6.0,0.0,5.0,Android,2024-03-09
U00003,S000003,Search,1.0,17.750527561582086,0.2828157195446023,5.946436533800772,3.4723323006925173,72.47504466796596,3.5301678857959007,11.0,1.0,5.0,Windows,2024-02-09
U00004,S000004,Login,1.0,14.650830320953293,0.4171421920602312,5.7923975752242285,,69.08069105023347,1.5710352162832384,5.0,0.0,3.0,MacOS,2024-01-03
U00005,S000005,Settings,1.0,44.74454290949094,2.7433859094496764,7.0,2.9592412509794133,34.977518460812234,0.34985026652407397,5.0,1.0,4.0,Windows,2024-01-26
U00006,S000006,Search,1.0,47.03059332611473,3.9640884797955165,4.752282269868748,4.237143755743387,146.49746068899725,2.6107920673200193,7.0,0.0,5.0,Windows,2024-02-10
U00007,S000007,Settings,1.0,17.456097999561955,5.202495042686127,3.338940445351948,2.922845138336791,29.64658935676742,3.5561986493819937,7.0,0.0,5.0,Android,2024-03-29
U00008,S000008,Checkout,1.0,9.370733878735411,0.11638918061750705,5.5072176062133815,3.2321879503887487,31.145880659710414,1.0231395649504336,2.0,0.0,4.0,Windows,2024-03-30
U00009,S000009,Checkout,0.0,66.68532149724169,10.46842370135033,,5.0,47.71160319191487,14.064656058927943,1.0,1.0,5.0,MacOS,2024-02-24
U00010,S000010,Settings,1.0,28.402973293746722,0.7162068050373642,6.5221223748679265,2.2878507505081287,41.89070042223642,3.3066071371825516,9.0,1.0,5.0,MacOS,2024-02-04
