User_ID,Session_ID,Task_Name,Task_Success,Time_to_Complete_s,Error_Rate_%,Satisfaction_Score,Cognitive_Load_Score,System_Latency_ms,Click_Error_Rate,Average_Path_Length,Help_Accessed,Post_Task_Confidence,Device_OS,Timestamp
U00001,S000001,Upload,0.0,49.1307701175622,28.88338578903471,3.105473354884978,5.0,70.52621099232492,0.7627997426364769,4,0.0,4.0,MacOS,2024-01-04
U00002,S000002,,1.0,7.725311210505546,0.5734972622700136,6.889513375149664,2.6357841884491835,76.37240252323357,0.24395567801965246,9,,5.0,MacOS,2024-01-26
U00003,S000003,Checkout,0.0,23.27208618945006,10.255616571490819,5.291979993144938,5.0,36.253604420463574,1.3209956389165118,7,0.0,5.0,Android,2024-02-12
U00004,S000004,Upload,1.0,7.613894658288547,3.71269831406731,6.342173043135963,2.247855610196741,59.789327989381874,1.3356102997980213,6,0.0,4.0,Android,2024-01-16
U00005,S000005,Login,1.0,86.45785314438005,7.041045615573312,6.506942471839227,2.5810359749353053,87.04646333721878,7.06988311857386,6,0.0,5.0,iOS,2024-01-26
U00006,S000006,Checkout,0.0,170.91933440464254,22.520598996149484,4.584826246883697,5.0,57.70522565025967,0.2555899624951976,8,1.0,5.0,Windows,2024-02-04
U00007,S000007,Login,1.0,74.31001651146643,3.5484108917099206,7.0,2.799132663344092,67.77281852595044,0.14551615698880518,6,0.0,5.0,iOS,2024-03-21
U00008,S000008,Checkout,,15.218013718609452,10.608555088956852,3.65066263689667,5.0,31.92346598173067,2.360294064350353,5,0.0,5.0,Windows,2024-01-25
U00009,S000009,Upload,0.0,51.49188338204284,13.618118330839769,4.2721983505742696,5.0,50.37765904012349,0.5651595196173371,6,1.0,4.0,Windows,2024-01-27
U00010,S000010,Login,1.0,49.40912199724492,1.9347976491598584,6.305462301460514,4.070562119756509,83.7496737050005,2.9235327384108984,9,0.0,5.0,Android,2024-03-27
U00011,S000011,Upload,1.0,45.77196501527567,0.4752108976535824,5.09466004258525,3.107167064679088,30.916189723165846,0.003021940479038543,7,0.0,5.0,MacOS,2024-03-16
U00012,S000012,Settings,1.0,37.770137856600854,1.732368192341164,4.940026897071755,4.3900213838377855,22.4158621085414,0.3686979166372252,6,1.0,4.0,Android,2024-01-13
U00013,S000013,Search,1.0,77.08326886731398,0.15954187548323662,7.0,3.7268812073958286,32.404841451974285,0.06750452404274676,3,0.0,4.0,Windows,2024-03-08
U00014,S000014,Upload,1.0,68.8169096394048,3.613133394987898,5.89440640465249,1.7290699823114584,78.94410671821014,0.6422539910369406,10,1.0,4.0,Android,2024-03-13
U00015,S000015,Checkout,1.0,60.462691525153815,1.7595286236825636,5.577936549976823,4.045573206268375,85.99459102465683,0.09080145216430875,6,0.0,5.0,MacOS,2024-03-11
U00016,S000016,Search,,137.11118013033501,13.084101914488864,2.9769800024880597,4.276218825588918,63.51994441806804,0.03760173291023701,5,0.0,4.0,iOS,2024-03-23
,S000017,Search,1.0,,1.4567985609957363,6.559162891597902,,36.18943040431066,1.5774176341606938,3,0.0,5.0,Android,2024-01-18
U00018,S000018,Search,0.0,54.498634092324394,10.197754413674106,3.5782319842389825,5.0,66.91273824165378,0.5118335017802534,5,0.0,3.0,MacOS,2024-03-15
U00019,S000019,Settings,1.0,117.3472986468069,0.23057186109227445,5.395868812972063,3.1981644243044833,42.251492589332635,13.246827063557204,4,0.0,5.0,MacOS,2024-03-06
U00020,S000020,Upload,1.0,35.409167399890435,0.8654020523830264,5.067052500942681,3.348180081242771,106.15224213470098,2.5089101344397657,12,0.0,5.0,iOS,2024-02-29
U00021,S000021,Search,1.0,47.3888916367446,21.299901567545312,5.13861915711839,4.042310300529479,27.552212858599848,1.258300875738625,4,0.0,5.0,iOS,2024-03-20
,S000022,Login,1.0,30.127695174873313,1.7901102966782618,7.0,3.0684109833367725,29.19252577977547,0.980386167647681,9,0.0,,iOS,2024-03-29
U00023,S000023,Upload,1.0,13.783399112973965,7.962829416799751,7.0,3.3233227506595857,80.40139332825119,1.1015344420177675,6,0.0,3.0,Windows,2024-03-27
U00024,S000024,Search,1.0,8.318577699999258,1.1300839203563149,5.481186536726432,3.220279888752323,40.39769841510702,0.46667445254940154,5,0.0,5.0,iOS,2024-02-24
U00025,S000025,Login,1.0,28.988752938887924,0.0396070629288325,6.579906253269492,2.6801303579477604,48.5296131440499,0.4945293144211038,3,1.0,3.0,MacOS,2024-01-25
U00026,S000026,Settings,0.0,59.11290068305798,16.360456412852052,7.0,4.064959931702115,36.92743057654483,1.5550823400194762,5,0.0,3.0,MacOS,2024-02-11
U00027,S000027,Settings,1.0,17.260139220077395,10.491327640504494,6.876355347222971,2.119010734099881,26.283236197949307,0.0772759806286387,7,0.0,3.0,iOS,2024-03-24
U00028,S000028,Upload,1.0,135.80479675705357,0.40742153104668477,7.0,1.6307856608158158,71.9800123629198,0.723046694093816,5,0.0,5.0,,2024-01-26
U00029,S000029,Checkout,1.0,195.12159653923163,1.3129259274098273,7.0,3.2871923435016446,67.82839454432651,0.4346219756207248,4,0.0,5.0,Android,2024-02-13
U00030,,Upload,1.0,34.14615574501533,2.6208650947231957,5.792293732727454,3.959238482635645,37.81782428840518,1.2707108985591398,3,0.0,,iOS,2024-02-17
U00031,S000031,Search,1.0,23.806688775995077,7.363053993267902,6.232811228196859,4.15278973072872,35.81210340761999,1.1473242984023027,7,0.0,5.0,Android,2024-03-26
U00032,S000032,Login,0.0,57.54843115687468,13.1991508504575,6.6592558229801995,4.912599165991773,185.76982817212487,1.456812209498413,2,1.0,5.0,Android,2024-03-03
U00033,S000033,Settings,1.0,36.5499036787698,1.8698837033742264,5.901634969797984,3.7570879521835456,14.283170643146455,11.030305475578135,2,0.0,5.0,MacOS,2024-02-13
U00034,S000034,Search,1.0,56.57302835755344,2.6107237455399726,4.277840860932753,2.8858265001557877,46.435107350234986,2.324972920706578,8,0.0,5.0,MacOS,2024-03-18
U00035,S000035,Upload,1.0,60.08170791798615,4.670959504024517,5.331646949830759,2.7380164147396515,118.68160430645214,0.7710415600209376,4,0.0,4.0,MacOS,2024-01-04
